BBLE,Market_Val
2022600001.0000000,307000.0000000
2022600004.0000000,592000.0000000
2022600010.0000000,1669000.0000000
2022600017.0000000,179000.0000000
2022600018.0000000,831000.0000000
2022600019.0000000,291000.0000000
2022600034.0000000,304000.0000000
2022600038.0000000,587000.0000000
2022600052.0000000,172000.0000000
2022600062.0000000,0.0000000
2022600062E,29000.0000000
2022600062F,0.0000000
2022600062G,0.0000000
2022600062I,0.0000000
2022600062J,0.0000000
2022600100.0000000,895000.0000000
2022600140.0000000,697000.0000000
2022600175.0000000,0.0000000
2022600180.0000000,274000.0000000
2022600192.0000000,5845000.0000000
2022600193.0000000,2493000.0000000
2022600240E,0.0000000
2022600260E,0.0000000
2022600265E,0.0000000
2022600270E,0.0000000
2022610003.0000000,596000.0000000
2022610005.0000000,2372000.0000000
2022610009.0000000,523000.0000000
2022610015.0000000,1015000.0000000
2022610022.0000000,102000.0000000
2022610023.0000000,426000.0000000
2022610027.0000000,435000.0000000
2022610030.0000000,268000.0000000
2022610032.0000000,565000.0000000
2022610037.0000000,656000.0000000
2022610038.0000000,1376000.0000000
2022610043.0000000,872000.0000000
2022610045.0000000,1110000.0000000
2022610047.0000000,74000.0000000
2022610048.0000000,102000.0000000
2022610049.0000000,102000.0000000
2022610050.0000000,104000.0000000
2022610051.0000000,612000.0000000
2022610055.0000000,278000.0000000
2022610062.0000000,1764000.0000000
2022630001.0000000,6309000.0000000
2022630019.0000000,53933000.0000000
2022630065.0000000,447000.0000000
2022630066.0000000,447000.0000000
2022630067.0000000,448000.0000000
2022630068.0000000,447000.0000000
2022630069.0000000,447000.0000000
2022630070.0000000,448000.0000000
2022630071.0000000,448000.0000000
2022630072.0000000,448000.0000000
2022630073.0000000,448000.0000000
2022630074.0000000,448000.0000000
2022630075.0000000,450000.0000000
2022630076.0000000,448000.0000000
2022630077.0000000,448000.0000000
2022630078.0000000,448000.0000000
2022630079.0000000,448000.0000000
2022630080.0000000,448000.0000000
2022640001.0000000,1056000.0000000
2022640003.0000000,712000.0000000
2022640005.0000000,1864000.0000000
2022640007.0000000,1994000.0000000
2022640011.0000000,1756000.0000000
2022640012.0000000,1579000.0000000
2022640013.0000000,61000.0000000
2022640014.0000000,1440000.0000000
2022640015.0000000,138000.0000000
2022650001.0000000,1346000.0000000
2022650002.0000000,876000.0000000
2022650003.0000000,937000.0000000
2022650004.0000000,937000.0000000
2022650005.0000000,947000.0000000
2022650006.0000000,1781000.0000000
2022650010.0000000,408000.0000000
2022650017.0000000,1158000.0000000
2022650025.0000000,2038000.0000000
2022650027.0000000,2435000.0000000
2022650029.0000000,1515000.0000000
2022650031.0000000,1078000.0000000
2022650033.0000000,2285000.0000000
2022650035.0000000,1899000.0000000
2022650037.0000000,2148000.0000000
2022650039.0000000,871000.0000000
2022650040.0000000,187000.0000000
2022650041.0000000,979000.0000000
2022650042.0000000,894000.0000000
2022650043.0000000,1374000.0000000
2022650045.0000000,796000.0000000
2022650047.0000000,966000.0000000
2022650048.0000000,493000.0000000
2022650049.0000000,940000.0000000
2022650050.0000000,571000.0000000
2022650053.0000000,566000.0000000
2022650059.0000000,511000.0000000
2022660001.0000000,1007000.0000000
2022660002.0000000,940000.0000000
2022660003.0000000,101000.0000000
2022660004.0000000,101000.0000000
2022660005.0000000,2396000.0000000
2022660008.0000000,461000.0000000
2022660009.0000000,142000.0000000
2022660010.0000000,484000.0000000
2022660011.0000000,318000.0000000
2022660012.0000000,313000.0000000
2022660015.0000000,313000.0000000
2022660018.0000000,313000.0000000
2022660020.0000000,742000.0000000
2022660021.0000000,170000.0000000
2022660022.0000000,1118000.0000000
2022660023.0000000,689000.0000000
2022660025.0000000,1170000.0000000
2022660028.0000000,1440000.0000000
2022660035.0000000,467000.0000000
2022660036.0000000,467000.0000000
2022660037.0000000,1098000.0000000
2022660039.0000000,966000.0000000
2022660040.0000000,1098000.0000000
2022660041.0000000,990000.0000000
2022660042.0000000,417000.0000000
2022660111.0000000,313000.0000000
2022660112.0000000,313000.0000000
2022660113.0000000,313000.0000000
2022660114.0000000,313000.0000000
2022660115.0000000,313000.0000000
