BBLE,Market_Value
1000010010,339172000
1000010101,23503000
1000010201,219310000
1000010301,0
1000010401,0
1000020001,67435000
1000020002,41984000
1000020003,1722000
1000020023,36968000
1000030001,286045000
1000030002,10918000
1000030003,9208000
1000030010,30477000
1000041001,5452194
1000041002,7879455
1000041003,17086000
1000041004,1398622
1000041005,3203819
1000041006,3028999
1000041007,10684834
1000041008,10400227
1000041009,10400227
1000041010,10400227
1000041011,10400227
1000041012,10400227
1000041013,10400227
1000041014,10400227
1000041015,10396172
1000041016,10261994
1000041017,10261994
1000041018,10595398
1000041019,10595398
1000041020,10595398
1000041021,10595398
1000041022,10570996
1000041023,6842693
1000041024,6842693
1000041025,6842693
1000041026,6842693
1000041027,6842693
1000041028,6842693
1000041029,6842693
1000041030,6842693
1000041031,6842693
1000041032,6842693
1000041033,6785773
1000041034,6765439
1000041035,6895538
1000041036,7062245
1000041037,7062245
1000041038,7062245
1000041039,7066307
1000041040,7062245
1000041041,7062245
1000041042,7062245
1000041043,6984984
1000041044,6980929
1000041045,6980929
1000041046,7265528
1000041047,7265528
1000041048,7265528
1000041049,7265528
1000041050,7265528
1000041051,7265528
1000041052,6879277
1000047501,0
1000050010,131111111
1000051001,72023544
1000051002,116174973
1000051003,40376104
1000051004,7868571
1000051005,7868571
1000051006,7720965
1000051007,31826271
1000057501,0
1000060001,54273000
1000060001E,140000
1000070027,1326000
1000070028,695000
1000070029,797000
1000070030,1272000
1000070031,1890000
1000070033,1729000
1000070035,1762000
1000070037,1788000
1000070038,2743000
1000071001,4231000
1000071002,5912000
1000071101,3377000
1000071102,5707000
1000077501,0
1000077502,0
1000080039,10582000
1000080044,0
1000080051,6866000
1000081001,9248000
1000081002,25040000
1000087501,0
1000090001,232316000
1000090007,5640000
1000090014,137553000
1000090029,143105000
1000100001,5633000
1000100014,89034000
1000100015,3218000
1000100016,51114000
1000100019,2022000
1000100023,53281000
1000100032,2212000
1000100033,69076000
1000110001,393879000
1000110007,2502000
1000110009,1409000
1000110010,3940000
1000110011,1925000
1000110012,2448000
1000110014,12113000
1000110015,7620000
1000110017,3568000
1000110021,45363000
1000110026,789000
1000110029,2435000
1000111001,2853000
1000111002,2702000
1000117501,0
1000120001,95767000
1000120028,13015000
1000130001,34113000
1000130005,52302000
1000130027,187024000
1000130027E,0
1000150022,48317000
