ZIPCODE,AREA,SHAPE_ar_1,ParkInZipA,Error
11436,22699295.46,36031.71431,36031.69922,0
11436,22699295.46,6456.928584,6456.930176,0
11436,22699295.46,60772.84402,60772.80078,0
11436,22699295.46,306887.8643,306888,0
11436,22699295.46,8520.670176,8520.669922,0
11436,22699295.46,75415.57006,75415.60156,0
11213,29631004.44,30794.70325,30794.69922,0
11213,29631004.44,20214.89946,20214.90039,0
11213,29631004.44,17962.77592,17962.80078,0
11213,29631004.44,75489.53822,75489.5,0
11213,29631004.44,62657.21634,62657.19922,0
11213,29631004.44,778824.6762,407576,371249
11213,29631004.44,346547.5113,346548,0
11213,29631004.44,967294.3955,816004,151290
11213,29631004.44,405327.0038,405327,0
11213,29631004.44,61176.26688,61176.30078,0
11212,41972104.07,11149.96862,11150,0
11212,41972104.07,133592.1633,133592,0
11212,41972104.07,1117.340715,1117.339966,0
11212,41972104.07,757.8792612,757.8790283,0
11212,41972104.07,18923.08604,18923.09961,0
11212,41972104.07,9059.522039,9059.519531,0
11212,41972104.07,1839.331037,1839.329956,0
11212,41972104.07,17836.41219,17836.40039,0
11212,41972104.07,47169.39965,47169.39844,0
11212,41972104.07,11001.76384,11001.7998,0
11212,41972104.07,118587.8216,118588,0
11212,41972104.07,49551.0171,49551,0
11212,41972104.07,75504.43401,75504.39844,0
11212,41972104.07,16128.50041,16128.5,0
11212,41972104.07,10043.60647,10043.59961,0
11212,41972104.07,10517.14575,10517.09961,0
11212,41972104.07,54366.77342,54366.80078,0
11212,41972104.07,42578.43063,42578.39844,0
11212,41972104.07,7932.036036,7932.040039,0
11212,41972104.07,72527.27932,72527.29688,0
11212,41972104.07,82634.18284,82634.20313,0
11212,41972104.07,42587.16016,42587.19922,0
11212,41972104.07,102488.6915,102489,0
11212,41972104.07,72631.06092,72631.10156,0
11212,41972104.07,40995.10784,40995.10156,0
11212,41972104.07,4868.937225,4868.939941,0
11212,41972104.07,45439.78976,45439.80078,0
11212,41972104.07,5983.885868,5983.890137,0
11212,41972104.07,515481.4685,515481,0
11212,41972104.07,4588.615909,4588.620117,0
11212,41972104.07,9474.113201,9474.110352,0
11212,41972104.07,10187.65239,10187.7002,0
11225,23698630.12,778824.6762,140381,638444
11225,23698630.12,83863.13942,83863.10156,0
11225,23698630.12,12484.17601,12484.2002,0
11225,23698630.12,58560.08696,58560.10156,0
11225,23698630.12,67852.93616,67852.89844,0
11225,23698630.12,52032.3127,52032.30078,0
11225,23698630.12,19636.09367,19636.09961,0
11225,23698630.12,2611.856046,2611.860107,0
11218,36868798.99,20720.6093,20720.59961,0
11218,36868798.99,1587943.873,347564,1240380
11218,36868798.99,23343.37162,23343.40039,0
11218,36868798.99,28566.06928,28566.09961,0
11218,36868798.99,11321.05711,11321.09961,0
11218,36868798.99,61559.91509,61559.89844,0
11218,36868798.99,44811.33568,44811.30078,0
11218,36868798.99,39674.34292,39674.30078,0
11218,36868798.99,9052.066347,9052.070313,0
11218,36868798.99,16470.75105,16470.80078,0
11218,36868798.99,21707.36234,21707.40039,0
11218,36868798.99,5097.587934,5097.589844,0
11218,36868798.99,37085.30816,37085.30078,0
11218,36868798.99,147683.137,147683,0
11226,39408598.28,17424.10344,17424.09961,0
11226,39408598.28,21843.46512,21843.5,0
11226,39408598.28,12809.59466,12809.59961,0
11226,39408598.28,1559567.472,1559570,-3
11226,39408598.28,9038.171508,9038.169922,0
11226,39408598.28,5437.24052,5437.240234,0
11226,39408598.28,3134.513268,3134.51001,0
11219,42002738.47,17469.59689,17469.59961,0
11219,42002738.47,28648.3808,28648.40039,0
11219,42002738.47,667997.8472,58550.80078,609447
11219,42002738.47,5048.815008,5048.810059,0
11219,42002738.47,61361.34294,61361.30078,0
11219,42002738.47,7930.46874,7930.470215,0
11219,42002738.47,29800.55204,29800.59961,0
11219,42002738.47,17624.37972,17624.40039,0
11210,47887022.99,42090.94128,42090.89844,0
11210,47887022.99,25949.53825,4507.77002,21442
11210,47887022.99,142462.4081,142462,0
11210,47887022.99,186576.1779,186576,0
11210,47887022.99,6785.034009,6785.029785,0
11210,47887022.99,47743.61799,47743.60156,0
11230,49926703.39,1587943.873,524151,1063793
11230,49926703.39,87123.95808,87124,0
11230,49926703.39,18716.29367,18716.30078,0
11230,49926703.39,2390.768878,2390.77002,0
11230,49926703.39,25949.53825,21441.80078,4508
11230,49926703.39,112235.932,112236,0
11230,49926703.39,33698.7132,33698.69922,0
11230,49926703.39,26509.11457,26509.09961,0
