ParkID,SiteName,InspectionDate,OverallCondition,OverallCleanliness,Cleanliness/Glass
B001,American Playground,2013-11-25,1.0,1.0,1.0
B002,Amersfort Park,2014-02-07,1.0,1.0,1.0
B003,Bartel-Pritchard Square,2014-03-13,1.0,1.0,1.0
B006,BEATTIE SQUARE (T),2013-09-03,1.0,1.0,1.0
B007,Bensonhurst Park,2014-02-27,0.0,1.0,1.0
B007-01,Bensonhurst Park,2013-11-27,1.0,1.0,1.0
B008,Betsy Head Park,2014-03-04,1.0,1.0,1.0
B008-03,Betsy Head Memorial Playground,2014-04-07,0.0,1.0,1.0
B012,Brower Park,2014-04-03,1.0,1.0,1.0
B012-02,Brower Park,2014-02-28,1.0,1.0,1.0
B012-03,Brower Park,2014-01-22,1.0,1.0,1.0
B016,Maria Hernandez Park,2014-01-15,0.0,0.0,1.0
B016-01,Maria Hernandez Park,2014-01-27,1.0,1.0,1.0
B016-02,Maria Hernandez Park,2014-02-19,1.0,1.0,1.0
B017,Bushwick Playground,2013-12-06,1.0,1.0,1.0
B018-01,Dinapoli Plgd,2014-03-26,1.0,1.0,1.0
B018-ZN01,Canarsie Park - Zone 1,2014-04-03,0.0,1.0,1.0
B018-ZN02,Canarsie Park - Zone 2,2013-12-12,1.0,1.0,1.0
B018-ZN03,Canarsie Park - Zone 3,2013-11-15,1.0,1.0,1.0
B018-ZN04,Canarsie Park- Zone 4,2014-02-11,1.0,1.0,1.0
B019,Carroll Park,2014-04-04,0.0,0.0,1.0
B021,Commodore Barry Park,2014-03-04,0.0,0.0,0.0
B022,Middleton Playground,2014-02-07,1.0,1.0,1.0
B023,Lafayette Playground,2014-04-14,1.0,1.0,1.0
B024,Orient Grove,2014-04-28,1.0,1.0,1.0
B025,Cooper Park,2014-03-07,0.0,0.0,1.0
B025-01,Carnegie Plgd,2013-12-23,1.0,1.0,1.0
B026,Cuyler Gore Park,2014-03-21,0.0,0.0,1.0
B027,Veterans Triangle,2014-02-18,1.0,1.0,1.0
B028-01,Bay 8 Playground,2014-04-25,1.0,1.0,1.0
B028-03,Dyker Plgd,2013-12-26,1.0,1.0,1.0
B028-G01,Dyker Beach Golf Course,2013-11-06,1.0,1.0,1.0
B028-ZN01,Dyker Beach Park - Zone 1,2013-12-05,0.0,1.0,1.0
B028-ZN02,Dyker Beach Park - Zone 2,2014-03-25,0.0,0.0,1.0
B029-ZN01,Eastern Parkway Mall Zone 1,2014-02-11,1.0,1.0,1.0
B029-ZN02,Eastern Parkway Mall Zone 2,2013-11-13,1.0,1.0,1.0
B029-ZN03,Eastern Parkway Mall Zone 3,2014-03-05,0.0,0.0,1.0
B029-ZN04,Eastern Parkway Mall Zone 4,2014-04-03,0.0,1.0,1.0
B029-ZN05,Eastern Parkway Mall Zone 5,2013-12-24,0.0,0.0,1.0
B029-ZN06,Eastern Parkway Mall Zone 6,2014-03-13,0.0,0.0,1.0
B031,Fidelity Triangle,2014-02-10,1.0,1.0,1.0
B032-01,Fort Greene Plgd,2013-12-10,1.0,1.0,1.0
B032-02,Fort Greene Park,2013-11-12,1.0,1.0,1.0
B032-ZN01,Fort Greene Park Zone 1,2013-12-24,0.0,0.0,0.0
B032-ZN02,Fort Greene Park Zone 2,2013-12-24,1.0,1.0,1.0
B032-ZN03,Fort Greene Park Zone 3,2013-12-05,1.0,1.0,1.0
B033,Fort Hamilton Triangle,2014-01-16,1.0,1.0,1.0
B035,John Paul Jones Park,2014-02-24,1.0,1.0,1.0
B036,Fort Stirling Park,2014-03-21,1.0,1.0,1.0
B037,Freedom Triangle,2014-03-06,1.0,1.0,1.0
B038,Fulton Park,2014-01-09,0.0,0.0,1.0
B040-02,Greenstreet,2013-12-04,1.0,1.0,1.0
B040-03,Greenstreet,2013-12-26,1.0,1.0,1.0
B041,Grant Gore,2014-02-28,1.0,1.0,1.0
B042,Gravesend Park,2014-01-13,0.0,0.0,0.0
B043,Greenpoint Playground,2014-04-28,1.0,1.0,1.0
B044,Dr. Ronald McNair Park,2014-02-10,1.0,1.0,1.0
B045,Heisser Triangle,2014-04-07,1.0,1.0,1.0
B049,Irving Square Park,2014-04-07,1.0,1.0,1.0
B050,Van Voorhees Park,2014-02-24,1.0,1.0,1.0
B051,Kelly Park,2013-11-18,1.0,1.0,1.0
B052,Leif Ericson Park,2013-11-08,1.0,1.0,1.0
B052-01,Leif Ericson Park,2014-02-10,1.0,1.0,1.0
B052-02,Leif Ericson Park,2013-11-27,0.0,1.0,1.0
B052-03,Leif Ericson Park,2013-12-16,1.0,1.0,1.0
B054-01,Lincoln Terrace Park ,2014-04-23,1.0,1.0,1.0
B054-ZN01,Lincoln Terr Pk,2013-12-05,1.0,1.0,1.0
B054-ZN02,Lincoln Terr Pk,2013-12-03,1.0,1.0,1.0
B054-ZN03,Lincoln Terr Pk,2014-03-13,1.0,1.0,1.0
B055,Sternberg Park,2014-04-28,0.0,0.0,1.0
B056,Martin Luther King Jr. Playground,2013-12-02,0.0,0.0,1.0
B057-03,Ps 278 Plgd,2014-01-22,1.0,1.0,1.0
B057-04,Lenape  Playground,2014-04-04,1.0,1.0,1.0
B057-05,Dr John's Plgd,2013-12-02,0.0,0.0,0.0
B057-06,Seba Playground,2014-04-04,1.0,1.0,1.0
B057-G01,Marine Park Golf Course,2013-10-31,1.0,1.0,1.0
B057-ZN01,Marine Park Zone 1,2014-04-23,1.0,1.0,1.0
B057-ZN02,Marine Park Zone 2,2014-01-10,1.0,1.0,1.0
B057-ZN03,Marine Park Zone 3,2014-03-04,1.0,1.0,1.0
B057-ZN04,Marine Park Zone 4,2014-03-04,1.0,1.0,1.0
B057-ZN05,Marine Park Zone 5,2014-01-10,0.0,0.0,1.0
B057-ZN06,Marine Park Zone 6,2014-02-19,1.0,1.0,1.0
B057-ZN07,"Marine Park Zone 7, Gerritsen Ballfields",2014-01-29,0.0,0.0,1.0
B058-01,Vincent V Abate Plgd,2013-12-10,1.0,1.0,1.0
B058-ZN01,Mccarren Park Zone 1,2013-11-26,1.0,1.0,1.0
B058-ZN02,Mccarren Park Zone 2,2014-02-07,0.0,0.0,1.0
B058-ZN03,Mccarren Park Zone 3,2014-04-22,1.0,1.0,1.0
B058-ZN04,Mccarren Park Zone 4,2013-12-24,0.0,1.0,1.0
B058-ZN05,Mccarren Park Zone 5,2014-04-08,1.0,1.0,1.0
B058-ZN06,Mccarren Park Zone 6,2014-03-04,1.0,1.0,1.0
B060,McKinley Park,2014-02-27,1.0,1.0,1.0
B060-01,Mckinley Park,2014-03-17,1.0,1.0,1.0
B061,McLaughlin Park,2014-03-10,1.0,1.0,1.0
B062,Memorial Gore,2014-03-10,1.0,1.0,1.0
B063,Milestone Park,2014-03-31,1.0,1.0,1.0
B065-ZN01,Ocean Parkway Malls Zone 1,2013-12-13,1.0,1.0,1.0
B065-ZN02,Ocean Parkway Malls Zone 2,2014-04-10,0.0,1.0,1.0
