ParkID,SiteName,Date,OverallCondition,OverallCleanliness,Glass,Graffiti,Litter,Weeds,Ice,Lawns,Trees,WaterBodies,HorticulturalAreas,AthleticFields,Trails,Benches,Fences,PavedSurfaces,PlayEquipment,SafetySurface,Sidewalks
B001,American Playground,11/25/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B002,Amersfort Park,2/7/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Not Rated,Not Rated,Acceptable,Acceptable,,,,Not Rated,Acceptable,Not Rated,,,Acceptable
B003,Bartel-Pritchard Square,8/13/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B006,BEATTIE SQUARE (T),3/13/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B007,Bensonhurst Park,9/12/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Unacceptable,,,Acceptable
B007-01,Bensonhurst Park,9/3/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,,Acceptable,,Acceptable,,,,Acceptable,Acceptable,,,Acceptable
B008,Betsy Head Park,2/27/2014,Unacceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,Unacceptable,,Acceptable,Acceptable,,Unacceptable,Unacceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable
B008-03,Betsy Head Memorial Playground,8/27/2013,Unacceptable,Unacceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,Acceptable,Unacceptable,,Acceptable,Acceptable,,Unacceptable,Unacceptable,Unacceptable,Acceptable,Acceptable,Acceptable
B012,Brower Park,11/27/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,
B012-02,Brower Park,3/4/2014,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,,Acceptable,Not Rated,Acceptable,,,Not Rated,,Acceptable,Acceptable,Not Rated,Acceptable,,Acceptable
