zipcode,medianhhincome,employees,payroll,establishments
10065,109960,21942.0,1589351.0,1393.0
10069,186569,463.0,23658.0,89.0
10453,26120,4806.0,150223.0,673.0
10452,26636,4978.0,162531.0,719.0
10451,26541,16048.0,945296.0,830.0
10457,24445,11498.0,564780.0,774.0
10456,22604,7578.0,305092.0,612.0
10455,21379,9613.0,267245.0,690.0
10454,19271,7848.0,316478.0,605.0
10459,21913,4275.0,132565.0,567.0
10458,24478,15922.0,448841.0,1033.0
11232,40565,14843.0,596437.0,1263.0
10103,,3668.0,1157914.0,88.0
11233,35620,4142.0,124722.0,429.0
11385,51258,14300.0,568852.0,1829.0
11234,68177,21517.0,671012.0,1793.0
11235,42298,17334.0,612464.0,2478.0
11237,37636,10357.0,413133.0,942.0
11218,53251,12029.0,358081.0,1605.0
10282,233409,2461.0,162829.0,160.0
10280,125830,1200.0,52044.0,168.0
10119,,7928.0,827821.0,295.0
10115,,0.0,111509.0,68.0
10112,,4622.0,893807.0,108.0
10110,,2281.0,201894.0,149.0
10111,,3655.0,702100.0,155.0
11372,47750,8635.0,268160.0,1724.0
11109,126225,259.0,8388.0,45.0
11379,67516,4412.0,151373.0,597.0
11378,58317,16553.0,787583.0,1164.0
11102,48548,8548.0,289429.0,691.0
11103,55844,6716.0,250630.0,1136.0
11377,49528,15672.0,627777.0,1595.0
11101,43909,62030.0,3923484.0,2866.0
11106,49371,9890.0,376731.0,1066.0
11370,52489,4723.0,281407.0,298.0
11104,54188,5816.0,215107.0,569.0
10199,,32.0,790.0,12.0
11375,72538,22205.0,803634.0,2078.0
11374,54868,12111.0,386394.0,1081.0
11229,49629,13789.0,457607.0,1975.0
10040,40385,3752.0,124378.0,566.0
11371,,9007.0,499874.0,92.0
11228,61213,4567.0,159897.0,847.0
10044,75325,2325.0,119005.0,100.0
11201,93693,53417.0,2703614.0,2847.0
11203,49002,20120.0,1018576.0,846.0
10128,96974,15083.0,689122.0,1660.0
11205,42434,13676.0,449972.0,1095.0
11204,45112,11388.0,324082.0,2024.0
11207,32642,12132.0,406797.0,978.0
11206,28584,16908.0,539679.0,1150.0
11209,57713,15291.0,608745.0,1955.0
11208,35665,9691.0,335016.0,828.0
11105,57576,9129.0,539065.0,958.0
11225,40481,3704.0,110264.0,623.0
11224,31415,6020.0,214661.0,685.0
11368,46325,9547.0,512243.0,1322.0
11369,55553,4240.0,178016.0,304.0
11366,75729,2630.0,82354.0,453.0
11223,40960,14994.0,438827.0,2042.0
11364,73079,2708.0,77264.0,578.0
11365,56131,7035.0,304996.0,679.0
11362,86051,3623.0,103471.0,477.0
11363,91712,784.0,32333.0,178.0
11360,76438,3342.0,107193.0,355.0
11222,62634,14819.0,693902.0,1506.0
11221,37608,4637.0,128631.0,572.0
11220,38267,21267.0,939853.0,2393.0
11040,99793,22978.0,1384992.0,1510.0
11212,27901,9647.0,396670.0,721.0
11213,35344,6048.0,225955.0,726.0
11210,54664,9834.0,292751.0,1006.0
11211,44173,28895.0,847261.0,2710.0
10039,35710,1506.0,42711.0,195.0
10038,65934,40734.0,3179290.0,1935.0
11214,41246,12615.0,377269.0,1789.0
11215,93184,21459.0,837133.0,2068.0
10035,26214,10759.0,394245.0,615.0
10034,43049,4183.0,104865.0,600.0
10037,39897,4071.0,187355.0,209.0
10036,64013,143263.0,17934538.0,6118.0
10031,36495,4235.0,127323.0,687.0
10030,30674,2469.0,70986.0,269.0
10033,41352,7023.0,248456.0,1012.0
10032,36095,16047.0,1027849.0,803.0
11003,83754,6533.0,261097.0,635.0
11001,101537,5225.0,190060.0,714.0
11358,67924,5163.0,177024.0,1217.0
11005,70036,302.0,15602.0,31.0
11004,78766,2811.0,122536.0,241.0
11697,86731,0.0,0.0,49.0
11351,,0.0,0.0,1.0
11357,76014,6672.0,270573.0,917.0
11356,59289,8660.0,432351.0,743.0
11355,43248,16652.0,785361.0,1966.0
11354,48236,24643.0,988640.0,3068.0
11216,41688,4385.0,122039.0,675.0
11451,,32.0,1351.0,3.0
