GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US10001,10001,ZCTA5 10001,76138,8189,85750,15465,131339,27661,70276,10046
8600000US10002,10002,ZCTA5 10002,32265,2395,33828,2841,37741,7797,26687,2641
8600000US10003,10003,ZCTA5 10003,91767,5086,139386,9941,153359,17207,79973,7099
8600000US10004,10004,ZCTA5 10004,127281,22042,202083,82419,,,106444,21611
8600000US10005,10005,ZCTA5 10005,120729,11887,169531,50533,169219,50374,104167,19471
8600000US10006,10006,ZCTA5 10006,115787,24791,235431,40121,,,97332,17569
8600000US10007,10007,ZCTA5 10007,210125,38367,,,,,172531,35913
8600000US10009,10009,ZCTA5 10009,59034,4175,60019,7371,85685,15082,57736,6745
8600000US10010,10010,ZCTA5 10010,95556,9188,167206,16502,186175,18452,76993,12566
8600000US10011,10011,ZCTA5 10011,101515,2204,175244,24888,217898,21515,87225,4769
8600000US10012,10012,ZCTA5 10012,77853,7036,122151,19411,144336,27148,70471,6025
8600000US10013,10013,ZCTA5 10013,68790,8565,100742,25535,131979,33778,51747,11860
8600000US10014,10014,ZCTA5 10014,105144,7145,184227,24411,201464,30018,86574,5402
8600000US10016,10016,ZCTA5 10016,101979,4073,152500,12356,195045,19121,86504,4953
8600000US10017,10017,ZCTA5 10017,108250,6747,164671,38146,181354,37105,88457,10723
8600000US10018,10018,ZCTA5 10018,87813,13610,94659,45244,165417,49882,87379,15007
8600000US10019,10019,ZCTA5 10019,80519,6561,122066,21229,170708,22333,68398,6201
8600000US10020,10020,ZCTA5 10020,,,,,,,,
8600000US10021,10021,ZCTA5 10021,106236,7929,200595,29820,218931,12380,71877,5188
8600000US10022,10022,ZCTA5 10022,106888,7306,234524,38390,,,79920,6373
8600000US10023,10023,ZCTA5 10023,105311,5150,177813,24402,206268,20153,81560,6735
8600000US10024,10024,ZCTA5 10024,110091,5604,179330,18699,206909,13544,76642,4549
8600000US10025,10025,ZCTA5 10025,68463,4161,109016,8008,151177,10579,51807,3028
8600000US10026,10026,ZCTA5 10026,42058,3040,45795,5785,92049,13771,36413,6711
8600000US10027,10027,ZCTA5 10027,35694,2558,40909,3805,88289,10523,31351,2282
8600000US10028,10028,ZCTA5 10028,107976,6678,195198,17438,209375,22115,81402,4464
8600000US10029,10029,ZCTA5 10029,31254,1526,33581,2392,51700,3120,24063,2574
8600000US10030,10030,ZCTA5 10030,30674,2530,38853,4275,63963,7445,20993,4033
