,BOROUGH,COMFORTSTA,EAPPLY,GISPROPNUM,LOCATION,SHAPE_area,SHAPE_len,SIGNNAME,TYPECATEGO,WATERFRONT
0,B,N-CONFSTA-PARK,Father Giorgio Triangle,B223T,"Jackson St., Lorimer St., Meeker Ave.",2926.0648411,215.140128776,Father Giorgio Triangle,Triangle/Plaza,N
1,B,Y-CONFSTA-PARK,Jaime Campiz Playground,B223R,"Hope St., Marcy Ave., Metropolitan Ave.",33695.8618681,1089.75130355,Jaime Campiz Playground,Playground,N
2,B,N-CONFSTA-PARK,Lentol Garden,B223U,"Graham Ave., Meeker Ave., Humbolt St., BQE",33644.8026694,1019.50178876,Lentol Garden,Parkway,N
3,M,N-CONFSTA-PARK,14 Honey Locusts Park,M177,"E. 59 St., bet.ween 1 Ave. and 2 Ave.",14592.2097306,656.242561813,14 Honey Locusts Park,Triangle/Plaza,N
4,B,Y-CONFSTA-PARK,Fulton Park,B038,Chauncey St. bet. Lewis Ave. and Stuyvesant Ave.,87166.8298911,1751.54160803,Fulton Park,Neighborhood Park,N
5,B,N-CONFSTA-PARK,Grant Gore,B041,"Bedford Ave., Rodgers Ave., Bergen St.",735.747025303,190.787314491,Grant Gore,Triangle/Plaza,N
6,B,N-CONFSTA-PARK,Park,B210O,N/B Gowanus Exwy. bet. 65 St. and 66 St.,286.261000519,548.383588811,Park,Strip,N
7,M,N-CONFSTA-PARK,White Playground,M148,E. 105 St. To E. 106 St. bet.ween Lexington Ave. and 3 Ave.,29961.2826059,758.773455544,White Playground,Playground,N
8,M,Y-CONFSTA-PARK,Matthews - Palmer Playground,M154,W. 45 St. bet.ween 9 Ave. and 10 Ave.,21049.728173,622.79595006,Matthews - Palmer Playground,Playground,N
9,M,N-CONFSTA-PARK,Courtney Callender Playground,M155,"5 Ave., W. 130 St. To .W 131 St.",29998.9685763,734.618943151,Courtney Callender Playground,Playground,N
10,X,N-CONFSTA-PARK,Harding Park Beautification Project,X118A,Bronx River Ave. bet. C St. and Cornell Ave.,47504.3221286,1460.73315116,Harding Park Beautification Project,Garden,Y
11,M,N-CONFSTA-PARK,McKenna Square,M156,"W. 165 St., Amsterdam Ave. To Audubon Ave.",15018.2731296,742.270801979,McKenna Square,Triangle/Plaza,N
12,X,Y-CONFSTA-PARK,The Pearly Gates,X170,St. Peter's Ave. at Tratman Ave.,29495.9307997,694.400394623,The Pearly Gates,Playground,N
13,X,N-CONFSTA-PARK,Ferris Family Burial Plot,X312,Commerce Ave. bet. Butler Pl. and Westchester Ave.,5099.65398297,301.463898767,Ferris Family Burial Plot,Cemetery,N
14,X,Y-CONFSTA-PARK,Bufano Park,X121,Bradford Ave. bet. La Salle Ave. and Waterbury Ave.,83221.0415715,1223.58895564,Bufano Park,Playground,N
15,X,N-CONFSTA-PARK,Miele Park,X149,Bruckner Blvd bet. Hollywood Ave. and Crosby Ave.,9026.06176628,498.139746537,Miele Park,Undeveloped,N
16,M,N-CONFSTA-PARK,Park Avenue Malls,M060A,E 46 St To E 59 St and Park Av,57580.0502884,6215.66875454,Park Avenue Malls,Mall,N
17,M,N-CONFSTA-PARK,Strip,M092B,"E/s Riverside Dr, W 168 St To W 177 St",68435.6330463,4205.25040938,Park,Strip,N
18,M,N-CONFSTA-PARK,ABC Playground,M116,"Essex St., Norfolk St. and Houston St.",19988.8157792,597.839289241,ABC Playground,Jointly Operated Playground,N
19,M,Y-CONFSTA-PLGD,Strip,M108J,E. 120 St. and Paladino Ave. (Service Rd To FDR Dr.),8197.454533,455.301345209,Park,Strip,N
20,M,N-CONFSTA-PARK,Park,M108B,"E. 122 St. To E. 125 St., FDR Dr. To Harlem River Dr.",92818.0231432,2418.26186563,Park,Parkway,N
21,M,N-CONFSTA-PARK,Grand Army Plaza (part of Central Park for special event layer),M062,"5 Av, W 58 St To W 59 St",29553.8815925,656.590498413,Grand Army Plaza,Triangle/Plaza,N
22,M,N-CONFSTA-PARK,Bennett Rest,M091,"Henry Hudson Pkwy, Cabrini Blvd, at W186 St",177109.672345,5063.17325643,Bennett Rest,Nature Area,N
23,M,N-CONFSTA-PARK,Louis Cuvillier Park,M108A,"E.125 St., FDR Dr., 1 Ave., Paladino Ave.",119557.191733,1586.43020138,Louis Cuvillier Park,Neighborhood Park,N
24,M,N-CONFSTA-PARK,Hansborough Recreation Center,M131,"W. 134 St., Lenox Terrace Pl.",12614.2083866,452.478014072,Hansborough Recreation Center,Buildings/Institutions,N
25,M,Y-CONFSTA-PARK,Little Flower Playground,M132,Madison St. bet.ween Clinton St. and Rutgers St.,56353.2476154,984.400259609,Little Flower Playground,Playground,N
26,M,N-CONFSTA-PARK,Bill Bojangles Robinson Playground,M138,"W. 150 St., W/s 7 Ave.",7832.01902282,359.404316413,Bill Bojangles Robinson Playground,Playground,N
27,M,N-CONFSTA-PARK,Harlem Lane Playground,M141,"Harlem River Dr., W. 151 St. To W. 154 St.",65971.1510621,2259.00384515,Harlem Lane Playground,Neighborhood Park,N
28,X,N-CONFSTA-PARK,Locust Point Marina,X310,Longstreet Ave. bet. Harding Ave. and Giegerich Pl.,894727.255334,4904.62487031,Locust Point Marina,Waterfront Facility,Y
29,X,N-CONFSTA-PARK,Strip,X191D,Tierney Pl. at Locust Pt. Dr.,365.808234271,731.182017002,Park,Strip,N
30,X,Y-CONFSTA-PLGD,Givan Square,X187,E. Gunhill Rd. and Eastchester Rd. bet. Arnow Ave. and Adee Ave..,69783.776409,2029.04051035,Givan Square,Playground,N
31,X,Y-CONFSTA-PARK,Matthews Muliner Playground,X178,Mathews Ave. bet. Morris Park Ave. and Rhinelander Ave.,45343.1333602,856.304309263,Matthews Muliner Playground,Playground,N
32,X,N-CONFSTA-PARK,Van Nest Park,X093,"White Plains Rd., Van Nest Ave., Unionport Rd.",16643.8990047,718.341600858,Van Nest Park,Playground,N
33,Q,N-CONFSTA-PARK,Railroad Park,Q412,129 Ave. bet.ween 172 St. and 176 St.,690696.53256,4033.85414209,Railroad Park,Nature Area,N
