B01001    SEX BY AGE
B01001A   SEX BY AGE (WHITE ALONE)
B01001B   SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE)
B01001C   SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
B01001D   SEX BY AGE (ASIAN ALONE)
B01001E   SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
B01001F   SEX BY AGE (SOME OTHER RACE ALONE)
B01001G   SEX BY AGE (TWO OR MORE RACES)
B01001H   SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)
B01001I   SEX BY AGE (HISPANIC OR LATINO)
B01002    MEDIAN AGE BY SEX
B01002A   MEDIAN AGE BY SEX (WHITE ALONE)
B01002B   MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE)
B01002C   MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE)
B01002D   MEDIAN AGE BY SEX (ASIAN ALONE)
B01002E   MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
B01002F   MEDIAN AGE BY SEX (SOME OTHER RACE ALONE)
B01002G   MEDIAN AGE BY SEX (TWO OR MORE RACES)
B01002H   MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)
B01002I   MEDIAN AGE BY SEX (HISPANIC OR LATINO)
C01001A   SEX BY AGE (WHITE ALONE)
C01001B   SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE)
C01001C   SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
C01001D   SEX BY AGE (ASIAN ALONE)
C01001E   SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
C01001F   SEX BY AGE (SOME OTHER RACE ALONE)
C01001G   SEX BY AGE (TWO OR MORE RACES)
C01001H   SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)
C01001I   SEX BY AGE (HISPANIC OR LATINO)
B02001    RACE
B02003    DETAILED RACE
B02014    AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS
B02015    ASIAN ALONE BY SELECTED GROUPS
B02016    NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS
C02003    DETAILED RACE
C02014    AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS
