logrecno,avg
398990,1
398989,2
398987,0
398986,3.5
398985,4
398984,3.63
398983,2.33
398982,4
398981,4.11
398978,0
398977,2
398976,0
398975,0
398974,0
398973,0
398972,2.5
398971,0
398970,0
398969,0
398968,0
398967,6
398966,6
398965,2.5
398964,4.4
398963,0
398962,0
398961,0
398959,0
398958,4
398957,1.88
398956,3.5
398955,4
398954,3
398953,0
398952,3.36
398951,2
398950,0
398949,0
398948,2
398947,3.5
398946,2.4
398945,1
398944,2.25
398943,0
398942,1
398941,3.5
398940,2.36
398939,2
398938,2.67
398937,2.4
398936,2
398935,2.25
398934,3
398933,2.1
398932,0
398931,2.5
398930,3
398929,2.5
398928,3
398927,2
398926,2.25
398925,2.5
398924,0
398923,2.4
398922,3
398920,2
398919,0
398918,0
398917,3
398916,0
398915,0
398914,2
398913,2.75
398912,1
398911,0
398910,2.5
398909,2
398908,0
398907,0
398906,3.5
398905,5
398904,0
398903,4.43
398902,0
398901,3
398900,2
398899,0
398898,0
398897,0
398896,0
398895,0
398894,0
398893,0
398892,2.7
398891,0
398890,1
398889,0
398888,2.38
398887,0
398886,3.7
398885,3
398884,1.5
398883,0
398882,0
398881,0
398880,0
398879,2.94
398878,2.33
398877,0
398876,1.67
398875,0
398874,0
398873,0
398872,4.25
398871,4
398870,1.86
398869,0
398868,2.16
398867,1.43
398866,2.26
398865,2
398864,0
398863,0
398859,0
398858,0
398857,0
398856,3
398854,0
398853,1
398852,2.33
398851,2.55
398850,3.11
398849,2.69
398848,0
398847,0
398846,2.08
398845,2.92
398844,2.33
398843,2.7
398842,2.25
398841,0
398840,1.5
398839,3.5
398838,0
398837,2
398836,0
398835,0
398834,0
398833,0
398828,2
398826,2.4
398825,2
398824,1
398823,3.33
398822,0
398821,2.48
398820,3
398819,3
398818,6.67
398817,0
398816,2.5
398815,4.57
398814,0
398813,3.29
398812,3.33
398811,2.67
398810,3.55
398809,4.33
398808,2.89
398807,1.5
398806,0
398805,1.67
398804,4
398803,0
398802,2.07
398801,1.86
398800,2.8
398799,2
398798,0
398797,2.5
398796,2
398795,1
398794,3.25
398793,0
398792,2
398791,0
398790,9
398789,7
398788,6
398787,4.11
398786,2
398785,0
398784,2
398783,4
398782,0
398781,0
398780,2.6
398779,3
398778,1
398777,0
398776,2.25
398775,1.75
398774,3.8
398773,0
398772,6
398771,0
398770,4.44
398769,2.33
398768,0
398767,4
398766,3.33
398765,7
398764,0
398763,0
398762,5.67
398761,2
398760,4.5
398759,0
398758,0
398757,0
398756,2.4
398755,2
398754,1
398753,2
