logrecno,sum
398990,0
398989,1
398987,0
398986,4
398985,3
398984,7
398983,4
398982,2
398981,8
398978,0
398977,2
398976,0
398975,0
398974,0
398973,0
398972,2
398971,0
398970,0
398969,0
398968,0
398967,0
398966,1
398965,2
398964,4
398963,0
398962,0
398961,0
398959,0
398958,4
398957,6
398956,2
398955,1
398954,2
398953,0
398952,10
398951,1
398950,0
398949,0
398948,2
398947,4
398946,5
398945,2
398944,4
398943,0
398942,0
398941,2
398940,12
398939,1
398938,3
398937,4
398936,1
398935,4
398934,1
398933,20
398932,0
398931,3
398930,2
398929,7
398928,3
398927,1
398926,8
398925,1
398924,0
398923,4
398922,3
398920,1
398919,0
398918,0
398917,2
398916,0
398915,0
398914,1
398913,4
398912,0
398911,0
398910,5
398909,1
398908,0
398907,0
398906,6
398905,1
398904,0
398903,7
398902,0
398901,0
398900,3
398899,0
398898,0
398897,0
398896,0
398895,0
398894,0
398893,0
398892,4
398891,0
398890,1
398889,0
398888,13
398887,0
398886,9
398885,6
398884,2
398883,0
398882,0
398881,0
398880,0
398879,14
398878,8
398877,0
398876,3
398875,0
398874,0
398873,0
398872,2
398871,4
398870,7
398869,0
398868,18
398867,7
398866,21
398865,1
398864,0
398863,0
398859,0
398858,0
398857,0
398856,2
398854,0
398853,1
398852,4
398851,4
398850,6
398849,4
398848,0
398847,0
398846,11
398845,10
398844,12
398843,19
398842,3
398841,0
398840,2
398839,2
398838,0
398837,1
398836,0
398835,0
398834,0
398833,0
398828,2
398826,4
398825,0
398824,1
398823,2
398822,0
398821,19
398820,1
398819,1
398818,3
398817,0
398816,1
398815,5
398814,0
398813,5
398812,3
398811,2
398810,8
398809,3
398808,8
398807,2
398806,0
398805,3
398804,1
398803,0
398802,15
398801,6
398800,4
398799,2
398798,0
398797,8
398796,3
398795,1
398794,3
398793,0
398792,12
398791,0
398790,2
398789,1
398788,1
398787,7
398786,2
398785,0
398784,11
398783,1
398782,0
398781,0
398780,5
398779,8
398778,0
398777,0
398776,4
398775,4
398774,5
398773,0
398772,1
398771,0
398770,8
398769,3
398768,0
398767,0
398766,5
398765,1
398764,0
398763,0
398762,3
398761,1
398760,2
398759,0
398758,0
398757,0
398756,4
398755,7
398754,1
398753,4
398752,0
398751,3
398750,1
398748,0
398747,2
398746,0
398745,4
398743,6
398742,0
398741,1
398740,1
398739,1
398738,1
398737,0
398736,1
398735,0
398734,5
398733,1
398732,2
398731,0
398730,1
398729,0
398728,2
398727,0
398726,1
398725,0
398724,0
398723,0
398722,3
398721,2
398720,0
398719,1
398718,1
398717,1
398716,1
398715,1
398714,1
398713,3
398712,2
398711,1
398710,0
398709,2
398708,2
398707,4
398706,1
398705,1
398704,0
398703,6
398702,1
398701,1
398700,3
398699,2
398698,1
398697,0
398696,0
398695,2
398694,1
398693,0
398692,0
398691,0
398690,2
398689,0
398688,2
398687,0
398686,1
398685,0
398684,1
398683,0
398682,0
398681,1
398680,0
398679,1
398678,4
398677,2
398676,3
398675,0
398674,4
398673,6
398672,1
398671,8
398670,15
398669,0
398668,0
398667,0
398666,1
398665,3
398664,2
398663,1
398662,0
398661,7
398660,2
398659,0
398658,0
398657,1
398656,1
398655,3
398654,2
398653,2
398652,2
398651,1
398650,4
398649,2
398648,4
398647,1
398646,1
398645,4
398644,0
398643,6
398642,0
398641,2
398640,3
398639,0
398638,3
398637,0
398636,0
398635,1
398634,19
398633,0
398632,0
398631,0
398630,1
398629,0
398628,4
398627,9
398626,0
398625,0
398624,0
398623,0
398622,2
398621,0
398620,9
398619,7
398618,0
398617,3
398616,8
398615,0
398614,4
398613,1
398612,0
398611,1
398610,1
398609,8
398608,7
398607,0
398606,0
398605,6
398604,0
398603,1
398602,7
398601,3
398600,1
398599,0
398598,4
398597,2
398596,2
398595,1
398594,0
398593,0
398592,3
398591,0
398590,0
398589,4
398588,2
398587,0
398586,0
398585,0
398581,15
398580,21
398579,8
398578,4
398577,2
398576,12
398575,19
398574,19
398573,13
398572,12
398571,8
398570,7
398569,21
398568,1
398567,0
398566,15
398565,23
398564,1
398563,12
398562,15
398561,3
398560,0
398559,9
398557,0
398556,16
398555,3
398554,0
398553,11
398552,0
398551,14
398550,3
398549,8
398548,0
398547,0
398546,3
398545,0
398544,8
398542,4
398541,0
398540,30
398539,17
398538,11
398537,11
398536,7
398535,1
398534,0
398529,2
398528,3
398527,0
398526,4
398525,0
398524,0
398523,0
398522,4
398521,0
398520,24
398519,3
398518,5
398517,4
398516,0
398515,0
398514,4
398513,1
398512,0
398511,7
398510,4
398509,4
398508,5
398507,2
398506,4
398505,4
398504,0
398503,0
398502,0
398501,0
398500,0
398499,0
398498,4
398497,10
398496,2
398495,0
398494,2
398493,7
398492,0
398491,0
398490,0
398489,13
398488,0
398487,0
398486,12
398485,0
398484,3
398483,0
398482,0
398481,4
398480,1
398479,0
398478,2
398477,4
398476,0
398475,0
398474,2
398473,13
398472,14
398471,28
398470,1
398469,1
398468,1
398467,7
398466,0
398465,0
398464,0
398463,0
398462,0
398461,3
398460,4
398459,9
398458,3
398457,6
398456,3
398455,6
398454,0
398453,0
398452,2
398451,1
398450,10
398449,7
398448,4
398447,2
398446,0
398445,5
398444,1
398443,1
398442,0
398441,1
398440,1
398439,6
398438,1
398437,3
398436,1
398435,0
398432,0
398431,1
398430,0
398429,1
398428,0
398427,0
398426,2
398425,3
398424,0
398423,3
398422,2
398421,2
398420,6
398419,1
398418,0
398417,0
398416,3
398415,1
398414,0
398413,2
398412,0
398411,4
398410,0
398409,1
398408,1
398407,0
398406,0
398405,0
398404,3
398403,10
398402,0
398401,7
398400,2
398399,0
398398,1
398397,10
398396,0
398395,2
398394,9
398393,8
398392,5
398391,1
398390,0
398389,4
398388,7
398387,4
398386,0
398385,1
398381,10
398380,0
398379,5
398378,30
398377,27
398376,8
398375,14
398374,15
398373,1
398372,0
398371,0
398370,1
398369,2
398368,3
398367,4
398366,0
398361,0
398360,0
398359,0
398357,2
398356,4
398355,0
