logrecno,sum
398990,1
398989,1
398987,0
398986,0
398985,0
398984,1
398983,2
398982,0
398981,1
398978,0
398977,0
398976,0
398975,0
398974,0
398973,0
398972,0
398971,0
398970,0
398969,0
398968,0
398967,1
398966,1
398965,0
398964,1
398963,0
398962,0
398961,0
398959,0
398958,0
398957,2
398956,0
398955,0
398954,0
398953,0
398952,1
398951,0
398950,0
398949,0
398948,1
398947,0
398946,0
398945,0
398944,0
398943,0
398942,1
398941,0
398940,2
398939,0
398938,0
398937,1
398936,0
398935,0
398934,0
398933,1
398932,0
398931,1
398930,0
398929,1
398928,0
398927,0
398926,0
398925,1
398924,0
398923,1
398922,0
398920,0
398919,0
398918,0
398917,0
398916,0
398915,0
398914,0
398913,0
398912,2
398911,0
398910,1
398909,0
398908,0
398907,0
398906,0
398905,0
398904,0
398903,0
398902,0
398901,1
398900,0
398899,0
398898,0
398897,0
398896,0
398895,0
398894,0
398893,0
398892,6
398891,0
398890,0
398889,0
398888,0
398887,0
398886,1
398885,0
398884,0
398883,0
398882,0
398881,0
398880,0
398879,3
398878,1
398877,0
398876,0
398875,0
398874,0
398873,0
398872,2
398871,0
398870,0
398869,0
398868,1
398867,0
398866,6
398865,0
398864,0
398863,0
398859,0
398858,0
398857,0
398856,0
398854,0
398853,0
398852,2
398851,7
398850,3
398849,9
398848,0
398847,0
398846,2
398845,2
398844,0
398843,8
398842,1
398841,0
398840,0
398839,0
398838,0
398837,0
398836,0
398835,0
398834,0
398833,0
398828,0
398826,1
398825,2
398824,1
398823,1
398822,0
398821,2
398820,0
398819,0
398818,0
398817,0
398816,1
398815,2
398814,0
398813,2
398812,0
398811,1
398810,3
398809,0
398808,1
398807,0
398806,0
398805,0
398804,0
398803,0
398802,0
398801,1
398800,1
398799,0
398798,0
398797,0
398796,0
398795,0
398794,1
398793,0
398792,0
398791,0
398790,0
398789,0
398788,0
398787,2
398786,0
398785,0
398784,1
398783,0
398782,0
398781,0
398780,0
398779,1
398778,1
398777,0
398776,0
398775,0
398774,0
398773,0
398772,0
398771,0
398770,1
398769,0
398768,0
398767,1
398766,1
398765,0
398764,0
398763,0
398762,0
398761,0
398760,0
398759,0
398758,0
398757,0
398756,1
398755,0
398754,0
398753,0
398752,0
398751,1
398750,0
398748,0
398747,0
398746,0
398745,1
398743,0
398742,0
398741,0
398740,0
398739,0
398738,0
398737,0
398736,0
398735,0
398734,4
398733,1
398732,1
398731,0
398730,0
398729,0
398728,1
398727,0
398726,0
398725,0
398724,0
398723,0
398722,0
398721,0
398720,0
398719,0
398718,0
398717,1
398716,2
398715,0
398714,1
398713,0
398712,0
398711,0
398710,1
398709,0
398708,0
398707,2
398706,0
398705,1
398704,0
398703,0
398702,0
398701,0
398700,0
398699,0
398698,2
398697,0
398696,0
398695,1
398694,0
398693,0
398692,0
398691,0
398690,0
398689,0
398688,0
398687,1
398686,0
398685,0
398684,0
398683,0
398682,0
398681,0
398680,0
398679,1
398678,0
398677,0
398676,0
398675,0
398674,2
398673,1
398672,0
398671,3
398670,3
398669,0
398668,0
398667,0
398666,0
398665,1
398664,0
398663,0
398662,0
398661,0
398660,0
398659,0
398658,0
398657,0
398656,1
398655,1
398654,0
398653,0
398652,0
398651,0
398650,2
398649,2
398648,0
398647,0
398646,0
398645,0
398644,0
398643,0
398642,0
398641,0
398640,3
398639,0
398638,2
398637,0
398636,0
398635,1
398634,2
398633,0
398632,0
398631,0
398630,0
398629,0
398628,2
398627,5
398626,0
398625,0
398624,0
398623,0
398622,1
398621,0
398620,2
398619,0
398618,0
398617,2
398616,0
398615,0
398614,0
398613,0
398612,0
398611,0
398610,0
398609,4
398608,3
398607,0
398606,0
398605,0
398604,0
398603,1
398602,0
398601,0
398600,0
398599,0
398598,0
398597,0
398596,0
398595,0
398594,0
398593,0
398592,0
398591,0
398590,0
398589,1
398588,0
398587,0
398586,0
398585,0
398581,9
398580,1
398579,1
398578,1
398577,4
398576,5
398575,1
398574,2
398573,6
398572,11
398571,1
398570,9
398569,49
398568,40
398567,27
398566,27
398565,11
398564,13
398563,31
398562,11
398561,1
398560,0
398559,2
398557,0
398556,10
398555,0
398554,1
398553,1
398552,0
398551,4
398550,3
398549,0
398548,0
398547,0
398546,6
