logrecno,sum
398990,0
398989,0
398987,0
398986,0
398985,0
398984,1
398983,1
398982,0
398981,1
398978,0
398977,9
398976,0
398975,0
398974,0
398973,0
398972,0
398971,2
398970,0
398969,0
398968,0
398967,0
398966,0
398965,1
398964,0
398963,0
398962,0
398961,0
398959,0
398958,0
398957,0
398956,0
398955,0
398954,0
398953,0
398952,1
398951,0
398950,0
398949,0
398948,0
398947,0
398946,0
398945,0
398944,0
398943,0
398942,0
398941,0
398940,1
398939,1
398938,0
398937,0
398936,0
398935,1
398934,0
398933,32
398932,0
398931,0
398930,0
398929,1
398928,0
398927,8
398926,23
398925,1
398924,1
398923,1
398922,0
398920,2
398919,0
398918,0
398917,0
398916,0
398915,0
398914,0
398913,0
398912,0
398911,0
398910,0
398909,1
398908,0
398907,0
398906,0
398905,3
398904,0
398903,0
398902,0
398901,0
398900,1
398899,0
398898,0
398897,0
398896,0
398895,0
398894,0
398893,0
398892,0
398891,0
398890,3
398889,0
398888,0
398887,0
398886,0
398885,0
398884,0
398883,0
398882,0
398881,0
398880,1
398879,1
398878,2
398877,0
398876,5
398875,0
398874,0
398873,1
398872,0
398871,0
398870,27
398869,3
398868,44
398867,3
398866,76
398865,3
398864,2
398863,0
398859,0
398858,0
398857,0
398856,0
398854,0
398853,0
398852,2
398851,1
398850,0
398849,1
398848,0
398847,0
398846,0
398845,2
398844,2
398843,16
398842,0
398841,0
398840,1
398839,1
398838,0
398837,0
398836,0
398835,0
398834,0
398833,0
398828,1
398826,0
398825,0
398824,2
398823,0
398822,0
398821,0
398820,0
398819,0
398818,1
398817,0
398816,0
398815,0
398814,1
398813,0
398812,0
398811,0
398810,1
398809,0
398808,1
398807,1
398806,1
398805,18
398804,0
398803,0
398802,45
398801,30
398800,3
398799,0
398798,0
398797,2
398796,1
398795,3
398794,0
398793,0
398792,24
398791,0
398790,1
398789,0
398788,0
398787,0
398786,0
398785,0
398784,25
398783,0
398782,0
398781,0
398780,0
398779,2
398778,4
398777,0
398776,29
398775,2
398774,0
398773,0
398772,0
398771,0
398770,0
398769,0
398768,0
398767,0
398766,1
398765,0
398764,0
398763,0
398762,0
398761,0
398760,1
398759,0
398758,0
398757,0
398756,1
398755,20
398754,2
398753,0
398752,0
398751,2
398750,0
398748,0
398747,0
398746,0
398745,0
398743,1
398742,0
398741,0
398740,0
398739,1
398738,0
398737,0
398736,0
398735,0
398734,0
398733,0
398732,2
398731,1
398730,0
398729,0
398728,0
398727,0
398726,0
398725,0
398724,0
398723,0
398722,1
398721,0
398720,0
398719,0
398718,0
398717,2
398716,0
398715,1
398714,1
398713,0
398712,1
398711,1
398710,0
398709,0
398708,0
398707,0
398706,0
398705,0
398704,1
398703,1
398702,3
398701,1
398700,0
398699,0
398698,1
398697,0
398696,0
398695,0
398694,0
398693,0
398692,0
398691,0
398690,0
398689,3
398688,0
398687,0
398686,0
398685,0
398684,0
398683,0
398682,0
398681,3
398680,0
398679,0
398678,0
398677,1
398676,0
398675,0
398674,3
398673,0
398672,1
398671,2
398670,0
398669,0
398668,0
398667,0
398666,0
398665,0
398664,0
398663,0
398662,0
398661,0
398660,0
398659,0
398658,0
398657,0
398656,1
398655,2
398654,0
398653,7
398652,1
398651,2
398650,4
398649,1
398648,7
398647,0
398646,1
398645,3
398644,0
398643,1
398642,0
398641,0
398640,0
398639,0
398638,1
398637,0
398636,0
398635,1
398634,4
398633,0
398632,0
398631,0
398630,0
398629,0
398628,3
398627,1
398626,0
398625,0
398624,1
398623,0
398622,2
398621,0
398620,0
398619,0
398618,0
398617,0
398616,1
398615,0
398614,0
398613,3
398612,2
398611,0
398610,2
398609,1
398608,4
398607,0
398606,0
398605,0
398604,0
398603,1
398602,0
398601,1
398600,0
398599,1
398598,5
398597,10
398596,10
398595,0
398594,11
398593,1
398592,2
398591,1
398590,3
398589,6
398588,4
398587,7
398586,1
398585,0
398581,2
398580,7
398579,2
398578,0
398577,0
398576,2
398575,1
398574,0
398573,1
398572,1
398571,1
398570,1
398569,3
398568,2
398567,5
398566,7
398565,5
398564,2
398563,8
398562,6
398561,0
398560,2
398559,1
398557,0
398556,1
398555,0
398554,0
398553,1
398552,0
398551,2
398550,0
398549,0
398548,0
398547,0
398546,0
398545,0
398544,2
398542,0
398541,0
398540,4
398539,0
398538,3
398537,0
398536,0
398535,0
398534,0
398529,0
398528,1
398527,0
398526,4
398525,1
398524,0
398523,0
398522,0
398521,0
398520,8
398519,0
398518,0
398517,0
398516,0
398515,0
398514,2
398513,0
398512,0
398511,1
398510,0
398509,0
398508,0
398507,0
398506,1
398505,0
398504,0
398503,0
398502,0
398501,0
398500,0
398499,0
398498,1
398497,1
398496,1
398495,0
398494,0
398493,1
398492,0
398491,0
398490,0
398489,3
398488,0
398487,0
398486,3
398485,0
398484,0
398483,0
398482,0
398481,0
398480,0
398479,0
398478,1
398477,0
398476,0
398475,0
398474,0
398473,0
398472,2
398471,2
398470,0
398469,0
398468,1
398467,1
398466,0
398465,0
398464,0
398463,0
398462,0
398461,0
398460,0
398459,0
398458,0
398457,1
398456,0
398455,2
398454,0
398453,0
398452,0
398451,0
398450,0
398449,0
398448,0
398447,0
398446,0
398445,1
398444,0
398443,0
398442,0
398441,0
398440,0
398439,1
398438,0
398437,1
398436,0
398435,0
398432,0
398431,0
398430,0
398429,0
398428,0
398427,0
398426,0
398425,1
398424,0
398423,0
398422,0
398421,0
398420,0
398419,1
398418,0
398417,0
398416,0
398415,0
398414,0
398413,0
398412,0
398411,0
398410,0
398409,0
398408,0
398407,0
398406,0
398405,0
398404,1
398403,0
398402,0
398401,0
398400,0
398399,1
398398,0
398397,1
398396,0
398395,0
398394,0
398393,0
398392,0
398391,1
398390,0
398389,0
398388,1
398387,0
398386,0
398385,0
398381,1
398380,0
398379,0
398378,4
398377,4
398376,0
398375,1
398374,1
398373,0
398372,0
398371,0
398370,0
398369,1
398368,0
398367,1
398366,0
398361,0
398360,0
398359,0
398357,0
398356,0
398355,0
398354,0
398353,1
398352,0
398351,0
398350,1
398349,0
398348,0
398347,0
398346,2
398345,3
398344,9
398343,0
398342,3
398341,0
398340,0
398339,0
398338,0
398337,0
398336,0
398335,1
398334,0
398333,1
398332,0
398331,0
398330,0
398329,0
398328,0
398327,0
398326,0
398325,2
398324,0
398322,9
398321,0
398320,0
398319,0
398318,0
398317,1
398316,0
398315,1
398314,1
398313,5
398312,0
398311,0
398310,0
398309,2
398308,6
398307,5
398306,1
398305,0
398304,1
398303,0
398302,9
398301,29
398300,10
398299,11
398298,6
398297,27
398296,0
398295,1
398294,1
398293,0
398292,7
398291,0
398290,0
398289,54
398288,1
398287,0
398286,0
398285,0
398284,28
398283,0
398282,0
398281,9
398280,3
398279,0
398278,1
398277,33
398276,0
398275,0
398273,1
398272,0
398271,0
398270,0
398269,1
398268,0
398267,1
398266,2
398265,0
398264,2
398263,0
398262,0
398261,1
398260,0
398259,2
398258,0
398255,0
398252,0
398251,0
398250,0
398249,0
398248,0
398247,0
398246,0
398245,0
398244,0
398243,0
398242,0
398241,0
398240,0
398239,1
398238,1
398237,2
398236,0
398235,0
398234,0
398233,0
398232,0
398229,0
398228,0
398227,1
398226,0
398225,9
398224,0
398222,0
398221,0
398220,0
398219,0
398218,0
398217,3
398216,1
398215,0
398214,1
398213,0
398212,0
398211,0
398210,0
398209,4
398208,0
398207,0
398206,0
398205,0
398204,0
398203,0
398202,1
398201,0
398200,0
398199,0
398198,0
398197,0
398196,1
398195,1
398194,0
398193,0
398192,0
398191,0
398190,0
398189,27
398188,7
398187,0
398186,8
398185,10
398184,2
398183,1
398182,0
398181,0
398180,0
398179,0
398178,0
398177,0
398176,1
398175,3
398174,2
398173,0
398172,0
398171,0
398170,7
398169,8
398168,14
398167,15
398166,0
398165,0
398164,0
398163,0
398162,1
398161,2
398160,18
398159,30
398158,0
398157,0
398156,0
398155,5
398154,7
398153,18
398152,1
398151,0
398150,1
398149,0
398148,0
398147,0
398146,0
398145,0
398144,2
398143,0
398142,0
398141,2
398140,0
398139,11
398138,0
398137,0
398136,1
398135,0
398134,0
398133,0
398132,0
398131,0
398130,0
398129,0
398128,1
398127,8
398126,0
398125,1
398124,0
398123,0
398122,0
398121,0
398120,0
398119,0
398118,1
398117,0
398116,0
398115,0
398114,0
398113,0
398112,0
398111,0
398109,1
398108,0
398107,0
398106,0
398105,0
398104,0
398103,4
398102,0
398101,0
398100,0
398099,0
398095,0
398094,2
398093,2
398092,0
398091,3
398090,0
398089,1
398088,0
398087,0
398086,0
398085,0
398084,3
398083,0
398082,0
398081,1
398080,1
398079,4
398078,0
398077,1
398076,2
398075,5
398074,0
398073,0
398072,5
398070,1
398069,0
398068,0
398067,1
398066,0
398065,0
398064,1
398063,2
398062,0
398061,3
398060,3
398059,2
398058,1
398057,3
398056,0
398055,1
398054,0
398053,0
398052,0
398051,0
398050,2
398049,0
398048,0
398047,1
398045,0
398044,0
398043,0
398040,1
398039,0
398038,0
398037,0
398036,1
398035,1
398034,0
398033,1
398032,4
398031,5
398030,0
398029,4
398028,1
398027,0
398026,0
398025,1
398024,0
398023,1
398022,0
398019,1
398018,0
398017,0
398016,1
398015,0
398014,0
398013,3
398012,6
398011,1
398010,1
398009,5
398008,0
398007,3
398006,0
398005,0
398004,3
398003,1
398002,2
398001,7
398000,1
397999,3
397998,2
397997,1
397996,1
397995,1
397993,1
397992,0
397991,0
397990,1
397989,0
397988,2
397987,1
397986,0
397985,3
397984,0
397983,1
397982,2
397981,2
397980,0
397979,6
397978,0
397977,2
397976,1
397975,0
397974,0
397973,0
397972,3
397971,1
397966,0
397965,2
397964,0
397963,1
397962,0
397961,0
397960,7
397959,0
397958,0
397957,0
397956,0
397955,0
397954,0
397953,3
397952,99
397951,0
397950,1
397949,1
397948,0
397947,0
397946,0
397945,0
397944,0
397943,0
397942,2
397941,1
397940,0
397939,0
397938,0
397937,0
397936,0
397935,0
397934,1
397933,0
397932,0
397931,4
397930,0
397929,4
397928,0
397927,0
397926,0
397925,0
397924,0
397923,0
397922,1
397921,1
397920,3
397919,0
397918,2
397917,0
397916,0
397915,0
397914,1
397913,0
397912,0
397911,0
397910,0
397909,0
397908,0
397907,0
397906,1
397905,0
397904,0
397903,0
397902,3
397901,0
397900,0
397899,0
397898,0
397897,0
397896,0
397895,1
397894,0
397893,0
397892,0
397891,0
397890,0
397889,0
397888,1
397887,0
397886,0
397885,1
397884,0
397883,0
397882,0
397881,1
397880,0
397879,1
397878,6
397877,20
397876,14
397875,7
397874,38
397873,0
397872,1
397871,0
397870,0
397869,8
397868,0
397867,5
397866,0
397865,3
397864,1
397863,0
397862,1
397861,1
397860,0
397859,0
397858,3
397857,0
397856,0
397855,0
397854,0
397853,0
397852,0
397851,0
397850,0
397849,0
397848,5
397847,0
397846,13
397845,12
397844,2
397843,32
397842,0
397841,58
397840,1
397839,11
397838,10
397837,1
397836,4
397835,0
397834,0
397833,2
397832,0
397831,2
397830,0
397829,0
397828,1
397827,1
397826,0
397825,0
397824,2
397823,0
397822,0
397817,0
397816,0
397815,0
397814,1
397813,11
397812,95
397811,0
397810,0
397809,0
397808,0
397807,0
397806,13
397805,0
397804,0
397803,120
397802,0
397801,7
397800,4
397799,26
397798,3
397797,21
397796,233
397795,0
397794,2
397793,1
397792,0
397791,0
397790,0
397789,0
397788,0
397787,0
397786,0
397785,1
397784,0
397783,1
397782,0
397781,1
397780,13
397779,0
397777,1
397776,0
397775,0
397774,31
397773,32
397772,0
397771,0
397770,1
397769,1
397768,1
397767,0
397766,4
397765,0
397764,4
397763,5
397762,2
397761,0
397760,0
397759,0
397758,0
397757,0
397756,2
397755,1
397754,22
397753,1
397752,2
397751,1
397750,0
397749,8
397748,2
397747,1
397746,3
397745,0
397744,0
397743,2
397742,0
397741,0
397740,0
397739,0
397738,0
397737,0
397736,3
397735,0
397733,0
397732,0
397731,2
397730,3
397729,0
397728,2
397727,3
397726,0
397725,0
397724,1
397723,0
397722,11
397721,0
397720,4
397719,3
397718,2
397717,3
397716,2
397715,1
397714,0
397713,0
397712,2
397711,8
397710,7
397709,2
397708,4
397707,3
397706,0
397705,3
397704,1
397703,2
397702,1
397701,0
397700,0
397699,0
397698,0
397697,0
397696,2
397695,0
397694,0
397693,3
397692,0
397691,1
397690,0
397687,0
397686,1
397685,0
397684,0
397683,0
397682,1
397681,3
397680,0
397679,0
397678,0
397677,23
397676,0
397675,1
397674,0
397673,2
397672,1
397671,3
397670,0
397669,0
397668,4
397667,1
397666,0
397665,0
397664,4
397663,0
397662,1
397661,4
397660,9
397659,2
397658,0
397657,2
397656,3
397655,3
397654,0
397653,1
397652,0
397651,16
397650,4
397649,15
397648,19
397647,7
397646,9
397645,0
397644,8
397643,4
397642,0
397641,1
397640,19
397639,9
397638,0
397637,1
397636,0
397635,4
397634,0
397633,4
397632,0
397631,7
397630,0
397629,1
397628,0
397627,0
397626,2
397625,0
397624,0
397623,1
397622,0
397621,3
397620,0
397619,1
397618,1
397617,6
397616,0
397615,2
397614,0
397613,0
397612,3
397611,0
397610,2
397609,0
397608,2
397607,0
397606,0
397605,0
397604,0
397603,10
397602,1
397601,2
397600,6
397599,3
397598,1
397597,0
397596,0
397595,7
397594,1
397593,0
397592,0
397591,0
397590,1
397589,4
397588,6
397587,1
397586,1
397585,0
397584,0
397583,4
397582,0
397581,1
397580,0
397579,0
397578,0
397577,19
397576,0
397575,1
397574,0
397573,0
397572,0
397571,1
397570,0
397569,0
397568,0
397567,0
397566,1
397565,0
397564,2
397563,1
397562,0
397561,5
397560,1
397559,0
397558,0
397557,0
397556,0
397555,7
397554,1
397553,0
397552,0
397551,1
397550,2
397549,0
397548,3
397547,0
397546,9
397545,0
397544,0
397543,0
397542,0
397541,5
397540,0
397539,0
397538,0
397537,0
397536,0
397535,0
397534,1
397533,3
397529,0
397528,0
397527,6
397526,0
397525,0
397524,0
397523,0
397522,0
397521,0
397520,0
397519,0
397518,0
397517,0
397516,0
397515,0
397514,0
397513,0
397512,0
397511,0
397510,0
397508,0
397504,0
397503,0
397502,3
397501,0
397500,1
397499,1
397498,3
397497,0
397496,0
397495,0
397494,2
397493,0
397492,1
397491,16
397490,0
397489,1
397488,6
397487,0
397486,13
397485,3
397484,2
397483,1
397482,5
397481,9
397480,0
397479,5
397474,0
397473,1
397472,0
397471,0
397470,0
397469,0
397468,0
397467,0
397466,2
397465,0
397464,0
397463,0
397462,0
397461,0
397460,1
397459,1
397458,1
397457,0
397456,0
397455,0
397454,0
397453,2
397452,0
397451,1
397450,3
397449,0
397448,0
397447,2
397446,2
397445,0
397444,1
397443,2
397442,0
397441,0
397440,1
397439,0
397438,4
397437,5
397436,2
397435,0
397434,8
397433,7
397432,0
397431,8
397430,1
397429,0
397428,0
397427,0
397426,1
397425,2
397424,0
397423,0
397422,0
397421,1
397420,0
397419,3
397418,1
397417,0
397416,0
397415,3
397414,0
397413,2
397412,0
397411,3
397410,3
397409,2
397408,2
397407,0
397406,0
397405,5
397404,4
397403,2
397402,25
397401,1
397400,0
397399,2
397398,0
397397,0
397396,0
397395,13
397394,6
397393,5
397392,0
397391,3
397390,0
397389,2
397388,0
397387,0
397386,5
397385,2
397384,3
397383,1
397382,0
397381,0
397380,0
397379,1
397378,1
397377,8
397376,0
397375,0
397374,0
397373,1
397372,11
397371,2
397370,0
397369,0
397368,2
397367,0
397366,3
397365,5
397364,0
397363,3
397362,0
397361,0
397360,0
397359,1
397358,14
397357,3
397356,1
397355,0
397354,0
397353,0
397352,1
397351,0
397350,2
397349,0
397348,0
397347,0
397346,0
397345,0
397344,0
397343,7
397342,15
397341,0
397340,0
397339,2
397338,0
397337,0
397336,0
397335,0
397334,1
397333,0
397332,2
397327,0
397326,0
397325,0
397324,0
397323,0
397322,0
397321,0
397320,1
397319,0
397318,0
397317,0
397316,0
397315,0
397314,0
397313,2
397312,0
397311,1
397310,0
397309,0
397308,0
397307,1
397306,1
397305,1
397304,0
397303,0
397302,0
397301,0
397300,0
397299,0
397298,0
397297,1
397296,0
397295,0
397294,0
397293,2
397292,0
397291,0
397290,0
397289,0
397288,0
397287,1
397286,0
397285,0
397284,0
397283,0
397282,0
397281,1
397280,0
397279,0
397278,0
397277,0
397276,0
397275,1
397274,0
397273,0
397272,0
397271,0
397270,0
397269,1
397268,3
397267,1
397266,2
397265,1
397264,0
397263,0
397262,0
397261,0
397260,0
397259,0
397258,0
397257,0
397256,0
397255,0
397254,0
397253,1
397252,0
397251,1
397250,0
397249,1
397248,0
397247,0
397246,0
397245,1
397244,0
397243,1
397242,1
397241,0
397240,0
397239,1
397238,0
397237,0
397236,1
397235,1
397234,0
397233,1
397232,1
397231,0
397229,1
397228,1
397227,0
397226,0
397225,0
397224,0
397223,0
397222,0
397221,2
397220,0
397219,0
397218,1
397217,0
397216,0
397215,1
397214,3
397213,0
397212,1
397211,2
397210,0
397209,0
397208,1
397207,0
397206,1
397205,1
397204,0
397203,1
397202,1
397201,2
397200,1
397199,0
397198,0
397197,0
397196,0
397195,0
397194,0
397193,0
397190,0
397189,2
397188,1
397187,3
397186,29
397185,0
397184,0
397183,0
397182,0
397181,0
397180,1
397179,1
397178,0
397177,0
397176,0
397175,0
397174,1
397173,0
397172,0
397171,0
397170,2
397169,0
397168,0
397167,0
397166,0
397165,0
397164,25
397163,0
397162,0
397161,11
397160,0
397156,1
397155,0
397154,0
397153,2
397152,1
397151,2
397150,0
397149,0
397148,2
397147,0
397146,2
397145,1
397144,1
397139,0
397138,15
397137,0
397136,0
397135,2
397134,0
397133,1
397132,0
397131,17
397130,0
397129,0
397128,0
397127,40
397126,4
397125,0
397124,0
397123,2
397122,0
397121,1
397120,1
397119,2
397118,1
397117,0
397116,0
397115,3
397114,1
397113,0
397112,0
397111,2
397110,2
397109,2
397108,1
397107,0
397106,0
397105,0
397104,1
397103,0
397102,2
397101,3
397100,4
397099,0
397098,0
397097,2
397096,0
397095,1
397094,8
397093,6
397092,12
397091,2
397090,1
397089,6
397088,9
397087,40
397086,8
397085,6
397084,1
397083,0
397082,94
397081,11
397080,47
397079,10
397078,21
397077,3
397076,17
397075,15
397074,35
397073,0
397071,0
397070,0
397069,0
397068,1
397067,1
397066,2
397065,0
397064,0
397063,0
397062,1
397061,0
397060,4
397059,3
397058,2
397057,0
397056,3
397055,0
397054,1
397053,0
397052,1
397051,1
397050,0
397049,0
397048,0
397047,2
397046,9
397045,5
397044,3
397043,12
397042,0
397041,1
397040,0
397039,0
397038,0
397037,1
397036,0
397035,3
397034,2
397033,2
397032,3
397031,0
397030,0
397029,0
397028,2
397027,0
397026,0
397025,0
397024,0
397023,0
397022,1
397021,0
397020,0
397019,0
397018,0
397017,2
397016,0
397015,1
397014,0
397013,2
396952,2
396951,0
396950,0
396949,1
396948,0
396947,0
396946,0
396945,0
396944,0
396943,0
396942,0
396941,0
396940,0
396939,0
396938,0
396937,0
396936,0
396935,1
396934,0
396933,0
396932,0
396931,0
396930,0
396929,0
396928,5
396927,0
396926,0
396925,1
396924,0
396923,0
396922,2
396921,5
396920,0
396919,0
396918,0
396917,1
396916,0
396915,0
396914,0
396913,0
396912,4
396911,0
396910,7
396909,4
396908,0
396907,0
396906,0
396905,0
396904,0
396903,0
396902,0
396901,1
396900,14
396899,8
396898,3
396897,0
396896,0
396895,0
396894,3
396893,0
396892,0
396891,0
396890,0
396889,0
396888,2
396887,1
396886,0
396885,9
396884,5
396883,0
396882,0
396881,2
396880,1
396879,0
396878,0
396877,0
396876,1
396875,28
396874,0
396873,0
396872,5
396871,0
396870,1
396865,0
396863,0
396862,1
396860,0
396859,0
396857,0
396856,0
396855,0
396854,0
396853,0
396852,1
396851,0
396850,0
396849,0
396848,1
396847,0
396846,0
396845,0
396844,2
396843,0
396842,0
396841,2
396840,2
396839,1
396838,0
396837,0
396836,0
396835,0
396834,0
396833,0
396832,0
396831,1
396830,0
396829,0
396828,0
396827,1
396826,0
396825,0
396824,0
396823,0
396822,2
396821,1
396820,0
396819,0
396818,0
396817,0
396816,1
396815,0
396813,0
396812,3
396811,0
396810,0
396809,0
396808,1
396807,2
396806,1
396805,2
396804,0
396803,0
396802,1
396801,0
396800,1
396799,3
396798,0
396797,1
396796,0
396795,0
396794,1
396793,0
396792,1
396791,0
396790,1
396789,0
396788,0
396787,5
396786,2
396785,1
396784,0
396783,0
396782,4
396781,0
396780,0
396779,0
396778,0
396777,0
396776,0
396775,0
396774,0
396773,2
396772,0
396771,0
396770,1
396769,1
396768,0
396767,0
396766,0
396765,0
396764,0
396760,0
396759,5
396758,0
396757,1
396756,1
396755,1
396754,1
396753,0
396752,4
396751,1
396750,0
396749,0
396748,2
396747,1
396746,3
396745,16
396744,1
396743,3
396741,0
396740,3
396739,0
396738,1
396737,1
396736,2
396735,2
396734,5
396733,4
396732,3
396731,0
396730,0
396729,14
396728,0
396727,1
396726,1
396725,6
396724,5
396723,0
396722,1
396720,0
396719,0
396718,0
396717,0
396716,0
396715,0
396714,1
396713,0
396712,1
396711,1
396710,1
396709,0
396708,0
396707,2
396706,2
396705,2
396704,0
396703,1
396702,5
396701,3
396700,1
396699,4
396698,5
396697,3
396696,2
396695,1
396694,0
396693,2
396692,2
396691,0
396690,2
396689,0
396688,0
396687,0
396686,0
396684,0
396683,0
396682,0
396681,0
396680,3
396678,0
396677,0
396676,0
396675,0
396674,0
396673,0
396668,0
396667,0
396666,1
396665,0
396664,0
396663,0
396662,0
396661,0
396660,0
396659,0
396658,0
396657,0
396656,0
396655,0
396654,0
396653,0
396652,0
396651,14
396650,0
396649,0
396648,0
396647,0
396646,0
396645,0
396644,0
