X,Y,GISPROPNUM,LOCATION,WATERFRONT,SIGNNAME,BOROUGH,COMFORTSTA,TYPECATEGO,EAPPLY,SHAPE_area,SHAPE_len,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
998137.434952015639283,200233.37918683400494,B223T,"Jackson St., Lorimer St., Meeker Ave.",N,Father Giorgio Triangle,B,N-CONFSTA-PARK,Triangle/Plaza,Father Giorgio Triangle,2926.06484110000,215.14012877600,11211,B5,G6350,S
996897.711030415259302,199242.58602270836127,B223R,"Hope St., Marcy Ave., Metropolitan Ave.",N,Jaime Campiz Playground,B,Y-CONFSTA-PARK,Playground,Jaime Campiz Playground,33695.86186810000,1089.75130355000,11211,B5,G6350,S
999434.639359719236381,201628.630401044385508,B223U,"Graham Ave., Meeker Ave., Humbolt St., BQE",N,Lentol Garden,B,N-CONFSTA-PARK,Parkway,Lentol Garden,33644.80266940000,1019.50178876000,11222,B5,G6350,S
994541.185757219674997,216230.589865561603801,M177,"E. 59 St., bet.ween 1 Ave. and 2 Ave.",N,14 Honey Locusts Park,M,N-CONFSTA-PARK,Triangle/Plaza,14 Honey Locusts Park,14592.20973060000,656.24256181300,10022,B5,G6350,S
1002950.836492005852051,186937.869320790399797,B038,Chauncey St. bet. Lewis Ave. and Stuyvesant Ave.,N,Fulton Park,B,Y-CONFSTA-PARK,Neighborhood Park,Fulton Park,87166.82989110000,1751.54160803000,11233,B5,G6350,S
997338.422739520552568,185720.239829897880554,B041,"Bedford Ave., Rodgers Ave., Bergen St.",N,Grant Gore,B,N-CONFSTA-PARK,Triangle/Plaza,Grant Gore,735.74702530300,190.78731449100,11216,B5,G6350,S
979903.107440095045604,170286.795807055284968,B210O,N/B Gowanus Exwy. bet. 65 St. and 66 St.,N,Park,B,N-CONFSTA-PARK,Strip,Park,286.26100051900,548.38358881100,11220,B5,G6350,S
999228.598350542015396,227697.923008257144829,M148,E. 105 St. To E. 106 St. bet.ween Lexington Ave. and 3 Ave.,N,White Playground,M,N-CONFSTA-PARK,Playground,White Playground,29961.28260590000,758.77345554400,10029,B5,G6350,S
986262.430789038422517,216673.872502525628079,M154,W. 45 St. bet.ween 9 Ave. and 10 Ave.,N,Matthews - Palmer Playground,M,Y-CONFSTA-PARK,Playground,Matthews - Palmer Playground,21049.72817300000,622.79595006000,10036,B5,G6350,S
1000827.771326025249436,234403.653329800959909,M155,"5 Ave., W. 130 St. To .W 131 St.",N,Courtney Callender Playground,M,N-CONFSTA-PARK,Playground,Courtney Callender Playground,29998.96857630000,734.61894315100,10037,B5,G6350,S
1023498.64719273429364,233568.438363062188728,X118A,Bronx River Ave. bet. C St. and Cornell Ave.,Y,Harding Park Beautification Project,X,N-CONFSTA-PARK,Garden,Harding Park Beautification Project,47504.32212860000,1460.73315116000,10473,B5,G6350,S
