"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est"
"10001","NEW YORK, NY",,"G",135158,"G",1806660,"G",7297677,7549
"10002","NEW YORK, NY",,"G",18929,"G",111641,"G",478252,2685
"10003","NEW YORK, NY",,"G",72200,"G",973021,"G",4163273,4049
"10004","NEW YORK, NY",,"G",54292,"H",6368902,"H",13352956,1370
"10005","NEW YORK, NY",,"G",41672,"G",3562353,"G",8043957,1273
"10006","NEW YORK, NY",,"G",17247,"G",554076,"G",1972989,863
"10007","NEW YORK, NY",,"G",23910,"G",519466,"G",1758734,1284
"10009","NEW YORK, NY",,"G",7475,"G",54923,"G",238667,1027
"10010","NEW YORK, NY",,"G",72295,"S",0,"H",8027573,2948
"10011","NEW YORK, NY",,"G",61829,"G",830387,"G",3481374,3818
"10012","NEW YORK, NY",,"H",49137,"G",559533,"G",2416788,2912
"10013","NEW YORK, NY",,"G",65304,"S",0,"H",7303325,5027
"10014","NEW YORK, NY",,"G",31734,"G",488973,"G",1915636,2258
"10016","NEW YORK, NY",,"G",103898,"G",1846369,"G",7354158,5933
"10017","NEW YORK, NY",,"G",143016,"G",7494723,"G",18267652,5252
"10018","NEW YORK, NY",,"G",111854,"H",2137095,"G",8052583,6679
"10019","NEW YORK, NY",,"G",141598,"G",7640687,"G",19115572,5033
"10020","NEW YORK, NY",,"G",30692,"G",1792258,"G",5088469,706
"10021","NEW YORK, NY",,"G",68550,"G",1088007,"G",4513316,4325
"10022","NEW YORK, NY",,"G",144098,"G",7142532,"G",21923563,6782
"10023","NEW YORK, NY",,"G",45142,"G",673352,"G",2581230,2240
"10024","NEW YORK, NY",,"G",19167,"G",169412,"G",742122,1992
"10025","NEW YORK, NY",,"G",20074,"H",190284,"H",809739,1944
"10026","NEW YORK, NY",,"G",2248,"G",13436,"G",56666,330
"10027","NEW YORK, NY",,"G",39921,"G",416600,"G",1715708,911
"10028","NEW YORK, NY",,"G",21114,"H",222631,"H",1021647,2005
"10029","NEW YORK, NY",,"G",24310,"G",298752,"G",1293492,850
"10030","NEW YORK, NY",,"G",1942,"G",11548,"G",52857,220
"10031","NEW YORK, NY",,"G",3885,"G",25296,"G",105146,616
"10032","NEW YORK, NY",,"G",14688,"G",199455,"G",803963,709
"10033","NEW YORK, NY",,"G",6432,"G",49008,"G",204982,966
"10034","NEW YORK, NY",,"G",2851,"G",19790,"G",82035,537
"10035","NEW YORK, NY",,"H",11233,"H",100141,"H",417119,513
"10036","NEW YORK, NY",,"G",158580,"G",6155064,"G",16347582,6167
"10037","NEW YORK, NY",,"G",3706,"G",38684,"G",169045,181
