"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"10001","NEW YORK, NY",,"G",131603,"G",1744277,"G",7317522,7241,"NEW YORK","NY","NEW YORK"
"10002","NEW YORK, NY",,"G",19377,"G",124315,"G",543588,2872,"NEW YORK","NY","NEW YORK"
"10003","NEW YORK, NY",,"G",71680,"G",1053636,"G",4546824,4113,"NEW YORK","NY","NEW YORK"
"10004","NEW YORK, NY",,"G",51681,"H",5983514,"H",10984504,1398,"NEW YORK","NY","NEW YORK"
"10005","NEW YORK, NY",,"G",38994,"G",2435962,"G",5943554,1266,"NEW YORK","NY","NEW YORK"
"10006","NEW YORK, NY",,"G",17293,"G",523233,"G",1858378,843,"NEW YORK","NY","NEW YORK"
"10007","NEW YORK, NY",,"G",23114,"G",509270,"G",1738627,1330,"NEW YORK","NY","NEW YORK"
"10009","NEW YORK, NY",,"G",7991,"H",72956,"H",335072,1090,"NEW YORK","NY","NEW YORK"
"10010","NEW YORK, NY",,"G",66415,"H",2460518,"H",7628494,2981,"NEW YORK","NY","NEW YORK"
"10011","NEW YORK, NY",,"G",62078,"G",958928,"G",3947182,3852,"NEW YORK","NY","NEW YORK"
"10012","NEW YORK, NY",,"H",50704,"G",598653,"G",2667829,2916,"NEW YORK","NY","NEW YORK"
"10013","NEW YORK, NY",,"G",64981,"H",1490432,"H",5984420,5098,"NEW YORK","NY","NEW YORK"
"10014","NEW YORK, NY",,"G",33744,"G",478807,"G",2015562,2264,"NEW YORK","NY","NEW YORK"
"10016","NEW YORK, NY",,"G",99642,"G",1849405,"G",7417670,5769,"NEW YORK","NY","NEW YORK"
"10017","NEW YORK, NY",,"G",129197,"G",5983297,"G",16692078,5133,"NEW YORK","NY","NEW YORK"
"10018","NEW YORK, NY",,"G",107701,"G",2041755,"G",7826663,6421,"NEW YORK","NY","NEW YORK"
"10019","NEW YORK, NY",,"G",132516,"H",5366468,"G",15835746,4867,"NEW YORK","NY","NEW YORK"
"10020","NEW YORK, NY",,"G",36249,"G",1952503,"G",5661985,725,"NEW YORK","NY","NEW YORK"
"10021","NEW YORK, NY",,"G",64442,"G",1070596,"G",4594014,3879,"NEW YORK","NY","NEW YORK"
"10022","NEW YORK, NY",,"G",129874,"G",5995367,"G",18817294,6595,"NEW YORK","NY","NEW YORK"
"10023","NEW YORK, NY",,"G",44119,"G",702855,"G",2657490,2240,"NEW YORK","NY","NEW YORK"
"10024","NEW YORK, NY",,"G",18763,"G",157654,"G",712258,2012,"NEW YORK","NY","NEW YORK"
"10025","NEW YORK, NY",,"G",21112,"H",214632,"H",952730,2043,"NEW YORK","NY","NEW YORK"
"10026","NEW YORK, NY",,"G",2722,"G",17447,"G",80329,396,"NEW YORK","NY","NEW YORK"
"10027","NEW YORK, NY",,"G",39663,"G",475351,"G",1959145,954,"NEW YORK","NY","NEW YORK"
"10028","NEW YORK, NY",,"G",18997,"G",206187,"H",966717,1955,"NEW YORK","NY","NEW YORK"
"10029","NEW YORK, NY",,"G",25628,"G",343648,"G",1544410,1016,"NEW YORK","NY","NEW YORK"
"10030","NEW YORK, NY",,"G",2011,"G",12618,"G",55185,237,"NEW YORK","NY","NEW YORK"
"10031","NEW YORK, NY",,"G",3977,"G",27210,"G",121363,668,"NEW YORK","NY","NEW YORK"
"10032","NEW YORK, NY",,"G",14477,"G",207638,"G",902616,740,"NEW YORK","NY","NEW YORK"
"10033","NEW YORK, NY",,"G",6777,"G",55111,"G",242534,1000,"NEW YORK","NY","NEW YORK"
"10034","NEW YORK, NY",,"G",3369,"G",21844,"G",93765,575,"NEW YORK","NY","NEW YORK"
"10035","NEW YORK, NY",,"G",12434,"H",110033,"H",452159,572,"NEW YORK","NY","NEW YORK"
