"zip","name","empflag","emp","qp1","ap","est"
"10001","New York, NY",,106160,781628,3375875,6999
"10002","New York, NY",,13500,60207,258318,1784
"10003","New York, NY",,59001,497286,2194890,3256
"10004","New York, NY",,39428,685819,2615639,1115
"10005","New York, NY",,43540,807612,2937365,1076
"10006","New York, NY",,28560,447201,1995852,1061
"10007","New York, NY",,25427,247067,1023573,1307
"10009","New York, NY",,5677,30985,139683,634
"10010","New York, NY",,67192,573526,2278418,3019
"10011","New York, NY",,54495,384312,1689312,3301
"10012","New York, NY",,33426,186604,859784,2385
"10013","New York, NY",,61271,589206,1913846,5318
"10014","New York, NY",,31598,243873,1034539,1733
"10016","New York, NY",,95124,887476,3792733,5718
"10017","New York, NY",,135846,1723647,7016396,5684
"10018","New York, NY",,86116,804044,3417763,6059
"10019","New York, NY",,122464,1646071,6387619,4750
"10020","New York, NY",,34219,814616,2503929,651
"10021","New York, NY",,70267,606959,2638495,5092
"10022","New York, NY",,124725,1929852,7532632,6433
"10023","New York, NY",,34372,327513,1319604,2021
"10024","New York, NY",,14695,72870,340670,1696
"10025","New York, NY",,33381,244289,996890,1566
"10026","New York, NY",,668,2767,11986,134
"10027","New York, NY",,12321,59275,247608,683
"10028","New York, NY",,14490,94453,420356,1772
"10029","New York, NY",,21777,208772,869374,637
"10030","New York, NY",,942,3784,15814,151
"10031","New York, NY",,3568,17378,70354,412
"10032","New York, NY",,11780,106417,438114,573
"10033","New York, NY",,4885,22967,98490,773
"10034","New York, NY",,3762,24184,93648,457
"10035","New York, NY",,7975,45436,194179,348
"10036","New York, NY",,108543,1116756,4567820,5877
"10037","New York, NY",,5513,37377,150262,145
"10038","New York, NY",,45852,596637,2140869,2037
"10039","New York, NY",,711,3341,14243,78
"10040","New York, NY",,3107,15962,68640,411
"10044","New York, NY","H",0,0,0,67
"10103","New York, NY",,3527,43854,177669,113
"10110","New York, NY",,3209,25648,143880,213
"10111","New York, NY",,2126,49087,173554,158
"10112","New York, NY",,15555,107959,424836,98
"10115","New York, NY",,2342,15714,66660,57
"10119","New York, NY",,6281,79822,335225,207
"10128","New York, NY",,12364,83544,365788,1435
"10152","New York, NY",,1022,19391,81843,108
"10153","New York, NY",,4569,111581,447607,124
"10154","New York, NY",,4211,66791,297967,52
"10162","New York, NY",,197,2289,9854,17
"10165","New York, NY",,3267,27773,128772,467
"10167","New York, NY",,7076,137913,984952,85
"10168","New York, NY",,2239,23751,107484,203
"10169","New York, NY",,2414,52904,196680,269
"10170","New York, NY",,3178,26147,116452,250
"10171","New York, NY",,2584,179981,360839,30
"10172","New York, NY",,4748,79575,308542,60
"10173","New York, NY",,1718,16098,80833,173
"10174","New York, NY",,2951,43366,165443,121
"10177","New York, NY",,2128,45198,156907,49
"10199","New York, NY",,121,520,1552,8
"10271","New York, NY",,5119,135161,455431,74
"10278","New York, NY","B",0,0,0,5
"10279","New York, NY",,2717,32336,141534,100
"10280","New York, NY",,827,5364,24532,109
"10282","New York, NY","B",0,0,0,1
"10301","Staten Island, NY",,5917,31731,141599,552
"10302","Staten Island, NY",,4977,24363,101646,364
"10303","Staten Island, NY",,3869,24962,117393,295
"10304","Staten Island, NY",,6677,40022,175487,472
"10305","Staten Island, NY",,10226,73264,316993,597
"10306","Staten Island, NY",,8870,35220,155812,847
"10307","Staten Island, NY",,1440,8479,31615,175
"10308","Staten Island, NY",,1440,6157,27135,316
"10309","Staten Island, NY",,3751,22713,99959,366
"10310","Staten Island, NY",,6416,41291,178821,487
"10311","Staten Island, NY",,1010,16772,67176,27
"10312","Staten Island, NY",,3977,17343,80858,738
"10314","Staten Island, NY",,15022,70763,319169,1431
"10451","Bronx, NY",,15817,102358,434244,693
"10452","Bronx, NY",,4032,20131,85117,438
"10453","Bronx, NY",,3658,19610,85190,441
"10454","Bronx, NY",,6528,36865,168633,452
"10455","Bronx, NY",,4964,20983,90681,456
"10456","Bronx, NY",,5534,38189,166350,355
"10457","Bronx, NY",,9337,63541,287398,559
"10458","Bronx, NY",,12488,63412,263917,934
"10459","Bronx, NY",,3673,16285,70403,408
"10460","Bronx, NY",,4932,23552,103734,349
"10461","Bronx, NY",,16992,123028,517930,1135
"10462","Bronx, NY",,11844,76028,313701,889
"10463","Bronx, NY",,7643,40273,173766,955
"10464","Bronx, NY",,1077,5712,23797,146
"10465","Bronx, NY",,7224,46845,196018,423
"10466","Bronx, NY",,7364,50841,217076,528
"10467","Bronx, NY",,21043,183839,750206,938
"10468","Bronx, NY",,9262,55636,227497,664
"10469","Bronx, NY",,6060,32249,143066,547
"10470","Bronx, NY",,2222,13576,60823,279
"10471","Bronx, NY",,7100,32690,139215,420
"10472","Bronx, NY",,3641,23164,110357,406
"10473","Bronx, NY",,5118,32685,138367,269
"10474","Bronx, NY",,9885,73545,314502,542
"10475","Bronx, NY",,4744,28956,122320,271
"11001","Floral Park, NY",,4647,27545,117408,669
"11003","Elmont, NY",,6002,27495,123556,641
"11004","Glen Oaks, NY",,2321,14723,66058,194
"11005","Floral Park, NY",,281,1788,7640,39
"11040","New Hyde Park, NY",,24069,188133,837007,1422
"11101","Long Island City, NY",,50025,364172,1617056,2414
"11102","Long Island City, NY",,4630,25230,119438,497
"11103","Long Island City, NY",,7108,28295,123601,877
"11104","Long Island City, NY",,3747,16458,70418,438
"11105","Long Island City, NY",,7660,61467,267409,702
"11106","Long Island City, NY",,7691,47473,217866,801
"11201","Brooklyn, NY",,45613,331532,1309278,2047
"11203","Brooklyn, NY",,17625,130846,539192,660
"11204","Brooklyn, NY",,7848,32907,141043,1287
"11205","Brooklyn, NY",,9787,46981,211058,609
"11206","Brooklyn, NY",,20412,117637,495636,782
"11207","Brooklyn, NY",,10007,51011,222422,620
"11208","Brooklyn, NY",,7040,40308,173914,541
"11209","Brooklyn, NY",,13601,82774,349434,1552
"11210","Brooklyn, NY",,5185,23316,104740,763
"11211","Brooklyn, NY",,24390,116384,515664,1718
"11212","Brooklyn, NY",,9983,63565,277749,505
"11213","Brooklyn, NY",,4025,24866,108381,406
"11214","Brooklyn, NY",,7302,36443,150624,1096
"11215","Brooklyn, NY",,13585,87401,342757,1256
"11216","Brooklyn, NY",,3949,15754,67856,445
"11217","Brooklyn, NY",,7927,49102,208610,680
"11218","Brooklyn, NY",,8890,40196,175480,985
"11219","Brooklyn, NY",,17029,102849,449767,1650
"11220","Brooklyn, NY",,13883,79342,342235,1164
"11221","Brooklyn, NY",,2609,11659,50969,343
"11222","Brooklyn, NY",,15448,93352,413004,1061
