"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"10001","NEW YORK, NY",,116975,1233769,4798461,7233
"10002","NEW YORK, NY",,16412,81240,350962,2085
"10003","NEW YORK, NY",,60763,593923,2594111,3659
"10004","NEW YORK, NY",,51702,1561509,6347850,1233
"10005","NEW YORK, NY",,43713,1269600,3839642,1242
"10006","NEW YORK, NY",,27197,796031,3056252,1059
"10007","NEW YORK, NY",,26206,350007,1273409,1303
"10009","NEW YORK, NY",,6239,36478,160994,804
"10010","NEW YORK, NY",,80476,1790248,5119678,3143
"10011","NEW YORK, NY",,54112,490750,2206160,3664
"10012","NEW YORK, NY",,41919,317147,1526088,2816
"10013","NEW YORK, NY",,66987,1358451,3577210,5640
"10014","NEW YORK, NY",,34887,378084,1488287,2185
"10016","NEW YORK, NY",,109598,1212562,5202787,6000
"10017","NEW YORK, NY",,151145,3339974,11306319,5508
"10018","NEW YORK, NY","L",0,0,0,6245
"10019","NEW YORK, NY",,140460,3376454,11342196,5202
"10020","NEW YORK, NY",,41849,2322966,5553116,749
"10021","NEW YORK, NY",,76997,899668,3754040,5431
"10022","NEW YORK, NY",,138310,2909557,11566169,6907
"10023","NEW YORK, NY",,37912,372726,1581923,2177
"10024","NEW YORK, NY",,17495,107845,493533,1914
"10025","NEW YORK, NY",,36120,354075,1379781,1796
"10026","NEW YORK, NY",,1118,4571,20261,173
"10027","NEW YORK, NY",,13236,73254,315681,684
"10028","NEW YORK, NY",,16397,119147,531316,1883
"10029","NEW YORK, NY",,22917,237304,993750,667
"10030","NEW YORK, NY",,1090,5520,23597,178
"10031","NEW YORK, NY",,3580,17468,75563,484
"10032","NEW YORK, NY",,13371,117847,527406,617
"10033","NEW YORK, NY",,5656,30502,128235,877
"10034","NEW YORK, NY",,3908,28221,113908,489
"10035","NEW YORK, NY",,7764,60732,256061,394
"10036","NEW YORK, NY","M",0,0,0,6117
"10037","NEW YORK, NY",,5464,33599,147476,133
"10038","NEW YORK, NY",,39129,518099,2185788,2108
"10039","NEW YORK, NY",,755,3897,16741,104
"10040","NEW YORK, NY",,3389,19282,83745,463
"10044","NEW YORK, NY",,3914,32366,147152,61
"10069","NEW YORK, NY",,249,968,5734,12
"10103","NEW YORK, NY",,6970,130832,468950,151
"10110","NEW YORK, NY",,2992,39167,191451,216
"10111","NEW YORK, NY",,2708,79645,322316,228
"10112","NEW YORK, NY",,5305,203722,786932,110
"10115","NEW YORK, NY",,1849,18841,80924,62
"10119","NEW YORK, NY",,5143,94487,408072,246
"10128","NEW YORK, NY",,13848,110009,516720,1632
"10152","NEW YORK, NY",,911,43438,171002,127
"10153","NEW YORK, NY",,3978,243328,743386,115
"10154","NEW YORK, NY",,5825,224995,708426,58
"10162","NEW YORK, NY",,105,854,3637,19
"10165","NEW YORK, NY",,4919,50019,220063,552
"10167","NEW YORK, NY",,8515,233433,1873889,76
